XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       380.282      387.964      388.010
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4110.787      28.011
   0.1953          4295.797      29.101
   0.2953          4285.232      29.330
   0.3953          4126.628      28.597
   0.4953          3847.138      27.410
   0.5953          3484.879      25.878
   0.6953          3023.036      24.035
   0.7953          2571.815      22.227
   0.8953          2284.064      20.878
   0.9953          1939.828      19.290
   1.0953          1637.059      17.665
   1.1953          1333.833      15.914
   1.2953          1024.684      13.974
   1.3953           759.716      12.021
   1.4953           560.983      10.323
   1.5953           424.310       8.955
   1.6953           380.130       8.521
   1.7953           334.571       7.989
   1.8953           322.198       7.810
   1.9953           306.016       7.615
   2.0953           293.600       7.479
   2.1953           294.325       7.483
   2.2953           287.379       7.371
   2.3953           290.879       7.429
   2.4953           278.951       7.305
   2.5953           268.671       7.097
   2.6953           263.882       7.127
   2.7953           256.668       6.975
   2.8953           253.190       6.956
   2.9953           236.843       6.720
   3.0953           252.274       6.949
   3.1953           231.089       6.646
   3.2953           256.077       6.988
   3.3953           233.921       6.739
   3.4953           239.852       6.918
   3.5953           232.490       6.809
   3.6953           248.821       6.960
   3.7953           244.738       6.859
   3.8953           256.703       7.007
   3.9953           269.848       7.189
   4.0953           317.120       7.751
   4.1953           348.519       8.199
   4.2953           397.172       8.673
   4.3953           440.203       9.133
   4.4953           504.587       9.774
   4.5953           546.777      10.230
   4.6953           611.011      10.724
   4.7953           652.019      11.115
   4.8953           679.608      11.354
   4.9953           707.632      11.618
   5.0953           692.502      11.439
   5.1953           733.157      11.767
   5.2953           689.545      11.467
   5.3953           704.949      11.558
   5.4953           705.495      11.538
   5.5953           705.156      11.572
   5.6953           713.818      11.657
   5.7953           703.333      11.578
   5.8953           691.141      11.404
   5.9953           684.426      11.455
   6.0953           700.009      11.553
   6.1953           680.272      11.421
   6.2953           697.612      11.533
   6.3953           663.762      11.245
   6.4953           683.951      11.482
   6.5953           684.795      11.460
   6.6953           684.040      11.670
   6.7953           661.855      11.488
   6.8953           659.453      11.320
   6.9953           641.947      11.048
   7.0953           645.820      11.094
   7.1953           657.424      11.227
   7.2953           652.692      11.106
   7.3953           660.676      11.246
   7.4953           643.937      11.058
   7.5953           617.673      10.805
   7.6953           606.637      10.714
   7.7953           629.097      10.918
   7.8953           610.807      10.744
   7.9953           612.459      10.712
   8.0953           601.096      10.698
   8.1953           624.454      10.856
   8.2953           622.700      10.835
   8.3953           613.718      10.765
   8.4953           614.087      10.782
   8.5953           598.177      10.613
   8.6953           595.198      10.586
   8.7953           602.850      10.654
   8.8953           599.989      10.643
   8.9953           586.157      10.519
   9.0953           580.220      10.455
   9.1953           598.085      10.658
   9.2953           585.219      10.541
   9.3953           583.612      10.472
   9.4953           573.196      10.455
   9.5953           577.040      10.457
   9.6953           577.406      10.481
   9.7953           575.182      10.560
   9.8953           558.090      10.532
   9.9953           553.858      10.478
  10.0953           569.908      10.468
  10.1953           568.167      10.378
  10.2953           586.475      10.561
  10.3953           552.186      10.219
  10.4953           572.605      10.397
  10.5953           547.444      10.147
  10.6953           551.482      10.221
  10.7953           551.976      10.147
  10.8953           531.178       9.973
  10.9953           542.266      10.073
  11.0953           538.753       9.963
  11.1953           525.901       9.900
  11.2953           549.624      10.723
  11.3953           531.670       9.779
  11.4953           538.223       9.986
  11.5953           530.761       9.935
  11.6953           527.765       9.974
  11.7953           521.436       9.879
  11.8953           521.267       9.892
  11.9953           525.012       9.922
  12.0953           512.005       9.828
  12.1953           524.675       9.923
  12.2953           526.501       9.916
  12.3953           515.830       9.905
  12.4953           528.465       9.985
  12.5953           525.497       9.943
  12.6953           518.313       9.891
  12.7953           505.736       9.834
  12.8953           529.685       9.950
  12.9953           509.469       9.873
  13.0953           515.420      10.239
  13.1953           521.040       9.838
  13.2953           522.297      10.194
  13.3953           508.947       9.818
  13.4953           526.024      10.011
  13.5953           505.321       9.739
  13.6953           521.010       9.957
  13.7953           504.868       9.723
  13.8953           501.886       9.772
  13.9953           510.111       9.740
  14.0953           501.800       9.777
  14.1953           495.010       9.532
  14.2953           492.204       9.679
  14.3953           515.342       9.806
  14.4953           506.562       9.747
  14.5953           499.017       9.744
  14.6953           499.823       9.653
  14.7953           510.166       9.762
  14.8953           508.664       9.757
  14.9953           507.822       9.797
  15.0953           516.043       9.994
  15.1953           507.404       9.452
  15.2953           512.780       9.995
  15.3953           494.160       9.627
  15.4953           501.135       9.682
  15.5953           490.890       9.620
  15.6953           486.754       9.607
  15.7953           485.171       9.528
  15.8953           499.382       9.767
  15.9953           502.189       9.735
  16.0953           506.341       9.834
  16.1953           493.764       9.708
  16.2953           503.781       9.965
  16.3953           512.642      10.097
  16.4953           506.187       9.867
  16.5953           511.050       9.824
  16.6953           506.180       9.827
  16.7953           489.970       9.633
  16.8953           511.183       9.849
  16.9953           505.115       9.755
  17.0953           491.048       9.641
  17.1953           492.459       9.641
  17.2953           493.253       9.620
  17.3953           478.664       9.511
  17.4953           503.206       9.742
  17.5953           498.438       9.632
  17.6953           505.398       9.779
  17.7953           483.407       9.543
  17.8953           496.027       9.627
  17.9953           494.682       9.626
  18.0953           490.390       9.617
  18.1953           492.336       9.617
  18.2953           486.010       9.559
  18.3953           488.911       9.566
  18.4953           500.906       9.732
  18.5953           491.141       9.577
  18.6953           487.159       9.563
  18.7953           497.768       9.701
  18.8953           500.679       9.721
  18.9953           501.452       9.697
  19.0953           499.497       9.729
  19.1953           482.946       9.564
  19.2953           496.494       9.711
  19.3953           474.315       9.490
  19.4953           478.352       9.756
  19.5953           495.452       9.844
  19.6953           489.192       9.646
  19.7953           478.845       9.533
  19.8953           466.617       9.389
  19.9953           487.419       9.585
  20.0953           484.371       9.545
  20.1953           482.388       9.365
  20.2953           497.963      10.048
  20.3953           500.672       9.625
  20.4953           494.037       9.392
  20.5953           504.252       9.859
  20.6953           494.072       9.583
  20.7953           513.926       9.806
  20.8953           526.278       9.916
  20.9953           543.331      10.123
  21.0953           542.235      10.045
  21.1953           568.422      10.316
  21.2953           571.291      10.329
  21.3953           518.516       9.864
  21.4953           499.504       9.674
  21.5953           490.937       9.577
  21.6953           488.097       9.604
  21.7953           479.121       9.429
  21.8953           463.745       9.344
  21.9953           469.854       9.373
  22.0953           473.420       9.436
  22.1953           473.454       9.467
  22.2953           484.240       9.545
  22.3953           487.598       9.614
  22.4953           453.769       9.274
  22.5953           486.683       9.628
  22.6953           464.532       9.576
  22.7953           464.485       9.549
  22.8953           475.999       9.514
  22.9953           475.129       9.435
  23.0953           458.135       9.294
  23.1953           474.105       9.448
  23.2953           479.709       9.463
  23.3953           475.438       9.437
  23.4953           472.001       9.436
