XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       220.032      227.793      227.707
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
  21.3953           513.406       9.821
  21.4953           511.082       9.791
  21.5953           478.903       9.463
  21.6953           484.620       9.574
  21.7953           485.183       9.493
  21.8953           481.376       9.525
  21.9953           478.570       9.464
  22.0953           497.070       9.674
  22.1953           511.472       9.845
  22.2953           500.181       9.705
  22.3953           488.094       9.624
  22.4953           484.412       9.587
  22.5953           469.820       9.465
  22.6953           463.225       9.568
  22.7953           469.480       9.605
  22.8953           459.343       9.351
  22.9953           459.665       9.285
  23.0953           475.027       9.468
  23.1953           450.641       9.216
  23.2953           475.711       9.428
  23.3953           454.536       9.232
  23.4953           456.990       9.290
  23.5953           483.858       9.451
  23.6953           456.348       9.235
  23.7953           466.957       9.334
  23.8953           440.454       9.063
  23.9953           453.533       9.168
  24.0953           455.077       9.224
  24.1953           457.508       9.245
  24.2953           443.264       9.050
  24.3953           450.066       9.160
  24.4953           457.242       9.208
  24.5953           474.051       9.445
  24.6953           462.345       9.243
  24.7953           479.756       9.421
  24.8953           503.514       9.721
  24.9953           515.828       9.778
  25.0953           553.309      10.149
  25.1953           532.306       9.969
  25.2953           525.129       9.913
  25.3953           495.899       9.624
  25.4953           486.697       9.552
  25.5953           449.938       9.192
  25.6953           444.768       9.125
  25.7953           438.163       9.148
  25.8953           444.397       9.311
  25.9953           457.802       9.470
  26.0953           446.381       9.191
  26.1953           459.970       9.289
  26.2953           477.293       9.437
  26.3953           479.153       9.507
  26.4953           466.437       9.312
  26.5953           498.077       9.614
  26.6953           465.014       9.338
  26.7953           489.872       9.549
  26.8953           514.313       9.792
  26.9953           507.021       9.679
  27.0953           499.983       9.671
  27.1953           500.734       9.635
  27.2953           514.849       9.788
  27.3953           550.425      10.127
  27.4953           566.365      10.255
  27.5953           634.108      10.848
  27.6953           713.560      11.556
  27.7953           817.816      12.314
  27.8953           911.228      13.046
  27.9953           908.439      12.932
  28.0953           839.035      12.540
  28.1953           692.289      11.369
  28.2953           564.332      10.218
  28.3953           499.463       9.681
  28.4953           464.633       9.295
  28.5953           458.902       9.260
  28.6953           475.067       9.450
  28.7953           483.291       9.539
  28.8953           513.455       9.841
  28.9953           557.174      10.232
  29.0953           580.341      10.633
  29.1953           599.233      10.782
  29.2953           566.890      10.427
  29.3953           523.959       9.939
  29.4953           510.640       9.809
  29.5953           484.587       9.518
  29.6953           459.670       9.258
  29.7953           459.406       9.291
  29.8953           469.984       9.400
  29.9953           465.054       9.301
  30.0953           482.405       9.503
  30.1953           469.418       9.370
  30.2953           453.841       9.214
  30.3953           445.252       9.089
  30.4953           451.449       9.209
  30.5953           453.414       9.213
  30.6953           452.067       9.184
  30.7953           480.810       9.455
  30.8953           481.419       9.478
  30.9953           510.452       9.795
  31.0953           530.086       9.919
  31.1953           534.079       9.985
  31.2953           528.215       9.961
  31.3953           490.664       9.564
  31.4953           471.177       9.386
  31.5953           455.440       9.230
  31.6953           441.613       9.129
  31.7953           442.184       9.091
  31.8953           433.758       9.041
  31.9953           431.787       8.990
  32.0953           440.558       9.121
  32.1953           441.475       9.176
  32.2953           434.613       9.232
  32.3953           415.814       8.982
  32.4953           417.331       8.885
  32.5953           426.982       8.940
  32.6953           433.874       9.016
  32.7953           432.905       8.970
  32.8953           421.353       8.889
  32.9953           434.484       8.963
  33.0953           422.694       8.909
  33.1953           439.972       9.015
  33.2953           427.696       8.934
  33.3953           439.333       9.002
  33.4953           420.533       8.838
  33.5953           404.514       8.640
  33.6953           433.858       8.954
  33.7953           417.657       8.840
  33.8953           414.019       8.722
  33.9953           429.056       8.906
  34.0953           430.612       8.938
  34.1953           426.014       8.891
  34.2953           443.444       9.084
  34.3953           414.857       8.684
  34.4953           423.779       8.932
  34.5953           451.602       9.098
  34.6953           426.551       8.937
  34.7953           467.720       9.323
  34.8953           460.962       9.249
  34.9953           447.687       9.108
  35.0953           452.111       9.206
  35.1953           454.291       9.204
  35.2953           439.846       9.089
  35.3953           446.790       9.234
  35.4953           456.024       9.407
  35.5953           474.063       9.599
  35.6953           451.408       9.265
  35.7953           462.090       9.283
  35.8953           449.968       9.185
  35.9953           467.492       9.315
  36.0953           501.802       9.679
  36.1953           530.204       9.918
  36.2953           523.558       9.910
  36.3953           535.251       9.957
  36.4953           538.928      10.032
  36.5953           537.774       9.947
  36.6953           499.071       9.640
  36.7953           478.086       9.387
  36.8953           462.354       9.267
  36.9953           434.570       8.984
  37.0953           436.057       8.982
  37.1953           452.658       9.125
  37.2953           447.886       9.137
  37.3953           449.418       9.113
  37.4953           440.589       9.012
  37.5953           439.092       9.039
  37.6953           439.272       9.019
  37.7953           443.108       9.079
  37.8953           453.856       9.152
  37.9953           462.228       9.271
  38.0953           431.142       8.959
  38.1953           445.134       9.113
  38.2953           444.597       9.075
  38.3953           452.643       9.213
  38.4953           445.445       9.087
  38.5953           450.109       9.254
  38.6953           453.853       9.394
  38.7953           460.763       9.477
  38.8953           460.759       9.335
  38.9953           482.267       9.537
  39.0953           511.147       9.785
  39.1953           549.150      10.097
  39.2953           635.695      10.892
  39.3953           668.515      11.137
  39.4953           636.492      10.905
  39.5953           593.710      10.477
  39.6953           553.782      10.146
  39.7953           482.167       9.442
  39.8953           449.675       9.147
  39.9953           462.378       9.231
  40.0953           464.148       9.274
  40.1953           466.079       9.333
  40.2953           464.063       9.252
  40.3953           476.830       9.386
  40.4953           459.687       9.255
  40.5953           472.054       9.359
  40.6953           449.866       9.124
  40.7953           447.792       9.127
  40.8953           440.634       9.061
  40.9953           453.193       9.167
  41.0953           460.530       9.222
  41.1953           461.032       9.299
  41.2953           435.742       9.002
  41.3953           456.166       9.214
  41.4953           454.800       9.245
  41.5953           463.477       9.301
  41.6953           449.356       9.163
  41.7953           454.942       9.327
  41.8953           468.085       9.708
  41.9953           490.242       9.484
  42.0953           529.213      10.188
  42.1953           564.546      10.270
  42.2953           675.992      11.333
  42.3953           821.195      12.376
  42.4953           928.936      13.217
  42.5953           936.592      13.142
  42.6953           849.887      12.669
  42.7953           769.137      11.965
  42.8953           681.536      11.227
  42.9953           575.301      10.395
  43.0953           533.592       9.938
  43.1953           500.906       9.631
  43.2953           512.849       9.799
  43.3953           544.349      10.026
  43.4953           603.868      10.604
  43.5953           633.504      10.847
  43.6953           619.438      10.694
  43.7953           585.069      10.426
  43.8953           518.114       9.828
  43.9953           465.823       9.272
  44.0953           469.560       9.332
  44.1953           491.375       9.607
  44.2953           495.590       9.575
  44.3953           523.688       9.907
  44.4953           574.004      10.338
  44.5953           688.903      11.280
  44.6953           752.384      11.913
  44.7953           782.848      12.111
  44.8953           707.849      11.524
  44.9953           609.726      10.762
  45.0953           515.958      10.048
  45.1953           467.123       9.513
  45.2953           463.538       9.336
  45.3953           451.568       9.178
  45.4953           435.266       8.981
  45.5953           454.580       9.205
  45.6953           451.559       9.140
  45.7953           482.143       9.436
  45.8953           532.715       9.951
  45.9953           608.583      10.581
  46.0953           763.127      11.843
  46.1953           877.648      12.724
  46.2953           914.131      12.993
  46.3953           824.009      12.299
  46.4953           647.603      10.928
  46.5953           548.428      10.050
  46.6953           477.538       9.372
  46.7953           451.388       9.131
  46.8953           446.286       9.057
  46.9953           450.387       9.079
  47.0953           465.999       9.277
  47.1953           481.524       9.418
  47.2953           527.843       9.870
  47.3953           588.784      10.408
  47.4953           620.663      10.711
  47.5953           635.045      10.793
  47.6953           586.744      10.436
  47.7953           550.785      10.081
  47.8953           493.430       9.567
  47.9953           490.783       9.568
  48.0953           534.275       9.930
  48.1953           629.294      10.940
  48.2953           916.748      13.320
  48.3953          1299.528      15.911
  48.4953          2115.624      19.912
  48.5953          2926.156      23.384
  48.6953          3446.932      25.297
  48.7953          3458.122      25.424
  48.8953          3027.829      23.638
  48.9953          2410.743      21.128
  49.0953          1668.585      17.659
  49.1953          1037.718      13.807
  49.2953           693.199      11.311
  49.3953           528.203       9.885
  49.4953           486.640       9.477
  49.5953           484.446       9.452
  49.6953           478.569       9.369
  49.7953           455.926       9.219
  49.8953           457.278       9.140
  49.9953           459.773       9.192
  50.0953           461.887       9.256
  50.1953           457.394       9.190
  50.2953           462.061       9.230
  50.3953           474.053       9.355
  50.4953           459.820       9.211
  50.5953           433.935       8.974
  50.6953           463.149       9.237
  50.7953           503.676       9.670
  50.8953           531.631       9.925
  50.9953           625.910      10.779
  51.0953           770.461      11.973
  51.1953           808.881      12.273
  51.2953           819.022      12.358
  51.3953           691.453      11.349
  51.4953           573.163      10.585
  51.5953           490.698       9.731
  51.6953           463.091       9.348
  51.7953           460.748       9.260
  51.8953           467.700       9.306
  51.9953           479.822       9.403
  52.0953           493.856       9.574
  52.1953           502.298       9.644
  52.2953           537.162       9.910
  52.3953           522.212       9.825
  52.4953           522.348       9.786
  52.5953           532.477       9.878
  52.6953           482.491       9.417
  52.7953           474.871       9.327
  52.8953           459.876       9.210
  52.9953           445.406       9.011
  53.0953           455.521       9.160
  53.1953           426.702       8.834
  53.2953           442.294       9.011
  53.3953           429.547       8.882
  53.4953           438.354       8.985
  53.5953           440.847       8.969
  53.6953           445.021       9.056
  53.7953           425.456       8.852
  53.8953           452.093       9.078
  53.9953           445.230       9.079
  54.0953           436.076       8.971
  54.1953           444.777       9.045
  54.2953           447.049       9.086
  54.3953           463.444       9.286
  54.4953           515.781       9.763
  54.5953           570.247      10.341
  54.6953           591.618      10.693
  54.7953           573.620      10.554
  54.8953           551.381      10.143
  54.9953           503.351       9.694
  55.0953           476.471       9.373
  55.1953           470.684       9.345
  55.2953           491.039       9.489
  55.3953           466.635       9.283
  55.4953           459.048       9.201
  55.5953           448.234       9.052
  55.6953           455.547       9.183
  55.7953           439.536       8.996
  55.8953           447.945       9.065
  55.9953           446.923       9.051
  56.0953           458.858       9.175
  56.1953           448.472       9.081
  56.2953           444.612       9.034
  56.3953           435.106       8.913
  56.4953           448.416       9.104
  56.5953           443.602       9.040
  56.6953           444.405       9.021
  56.7953           451.499       9.105
  56.8953           428.810       8.895
  56.9953           451.942       9.081
  57.0953           462.128       9.239
  57.1953           472.928       9.327
  57.2953           465.158       9.286
  57.3953           452.886       9.161
  57.4953           451.543       9.084
  57.5953           423.046       8.891
  57.6953           433.887       8.977
  57.7953           425.776       8.917
  57.8953           425.783       9.134
  57.9953           447.983       9.247
  58.0953           434.670       9.034
  58.1953           424.744       8.882
  58.2953           418.835       8.793
  58.3953           428.788       8.933
  58.4953           421.807       8.788
  58.5953           422.168       8.839
  58.6953           425.884       8.832
  58.7953           417.882       8.761
  58.8953           433.919       8.930
  58.9953           434.255       8.975
  59.0953           423.152       8.688
  59.1953           428.548       8.916
  59.2953           439.923       8.993
  59.3953           473.527       9.314
  59.4953           446.837       9.035
