TOF	d space	q space	yint	ycal	bg	delta	err
10646.000000	1.059172e+00	5.932169e+00	2.489000e-02	2.316330e-02	2.220698e-02	1.726696e-03	2.599000e-03
10650.000000	1.059570e+00	5.929940e+00	2.138100e-02	2.315242e-02	2.220146e-02	-1.771416e-03	2.531000e-03
10654.000000	1.059968e+00	5.927713e+00	2.115200e-02	2.314283e-02	2.219596e-02	-1.990825e-03	2.535000e-03
10658.000000	1.060366e+00	5.925488e+00	2.556100e-02	2.313446e-02	2.219046e-02	2.426542e-03	2.631000e-03
10662.000000	1.060764e+00	5.923265e+00	2.528400e-02	2.312725e-02	2.218498e-02	2.156749e-03	2.621000e-03
10666.000000	1.061162e+00	5.921043e+00	2.663200e-02	2.312115e-02	2.217950e-02	3.510854e-03	2.650000e-03
10670.000000	1.061560e+00	5.918822e+00	2.339100e-02	2.311609e-02	2.217404e-02	2.749069e-04	2.589000e-03
10674.000000	1.061958e+00	5.916604e+00	2.027200e-02	2.311205e-02	2.216859e-02	-2.840050e-03	2.508000e-03
10678.000000	1.062356e+00	5.914387e+00	2.728400e-02	2.310898e-02	2.216315e-02	4.175023e-03	2.655000e-03
10682.000000	1.062754e+00	5.912172e+00	2.919700e-02	2.310684e-02	2.215772e-02	6.090156e-03	2.668000e-03
10686.000000	1.063152e+00	5.909958e+00	2.695900e-02	2.310562e-02	2.215230e-02	3.853378e-03	2.660000e-03
10690.000000	1.063550e+00	5.907746e+00	2.311300e-02	2.310529e-02	2.214689e-02	7.711544e-06	2.593000e-03
10694.000000	1.063948e+00	5.905536e+00	2.420700e-02	2.310582e-02	2.214150e-02	1.101177e-03	2.615000e-03
10698.000000	1.064346e+00	5.903328e+00	2.309900e-02	2.310721e-02	2.213611e-02	-8.210498e-06	2.586000e-03
10702.000000	1.064744e+00	5.901121e+00	2.674700e-02	2.310944e-02	2.213074e-02	3.637561e-03	2.648000e-03
10706.000000	1.065142e+00	5.898915e+00	2.594500e-02	2.311250e-02	2.212537e-02	2.832502e-03	2.628000e-03
10710.000000	1.065541e+00	5.896712e+00	2.451200e-02	2.311638e-02	2.212002e-02	1.395616e-03	2.613000e-03
10714.000000	1.065939e+00	5.894510e+00	2.277500e-02	2.312109e-02	2.211468e-02	-3.460916e-04	2.579000e-03
10718.000000	1.066337e+00	5.892309e+00	2.842500e-02	2.312662e-02	2.210935e-02	5.298378e-03	2.693000e-03
10722.000000	1.066735e+00	5.890111e+00	2.242600e-02	2.313298e-02	2.210402e-02	-7.069764e-04	2.585000e-03
10726.000000	1.067133e+00	5.887913e+00	2.295400e-02	2.314016e-02	2.209871e-02	-1.861605e-04	2.569000e-03
10730.000000	1.067531e+00	5.885718e+00	2.477700e-02	2.314818e-02	2.209341e-02	1.628819e-03	2.631000e-03
10734.000000	1.067929e+00	5.883524e+00	2.531100e-02	2.315705e-02	2.208813e-02	2.153951e-03	2.634000e-03
10738.000000	1.068327e+00	5.881332e+00	2.438100e-02	2.316678e-02	2.208285e-02	1.214224e-03	2.625000e-03
10742.000000	1.068725e+00	5.879142e+00	2.579500e-02	2.317738e-02	2.207758e-02	2.617624e-03	2.661000e-03
10746.000000	1.069123e+00	5.876953e+00	2.617700e-02	2.318887e-02	2.207232e-02	2.988132e-03	2.667000e-03
10750.000000	1.069521e+00	5.874765e+00	2.507600e-02	2.320127e-02	2.206708e-02	1.874730e-03	2.676000e-03
10754.000000	1.069919e+00	5.872580e+00	2.675600e-02	2.321461e-02	2.206184e-02	3.541395e-03	2.696000e-03
10758.000000	1.070317e+00	5.870396e+00	2.891300e-02	2.322890e-02	2.205662e-02	5.684102e-03	2.720000e-03
10762.000000	1.070715e+00	5.868213e+00	2.739300e-02	2.324418e-02	2.205141e-02	4.148824e-03	2.691000e-03
10766.000000	1.071113e+00	5.866033e+00	2.520100e-02	2.326047e-02	2.204620e-02	1.940531e-03	2.663000e-03
10770.000000	1.071511e+00	5.863853e+00	2.532500e-02	2.327781e-02	2.204101e-02	2.047189e-03	2.650000e-03
10774.000000	1.071909e+00	5.861676e+00	2.468900e-02	2.329624e-02	2.203583e-02	1.392763e-03	2.656000e-03
10778.000000	1.072307e+00	5.859500e+00	2.359600e-02	2.331579e-02	2.203066e-02	2.802130e-04	2.623000e-03
10782.000000	1.072705e+00	5.857326e+00	2.191500e-02	2.333650e-02	2.202550e-02	-1.421503e-03	2.561000e-03
10786.000000	1.073104e+00	5.855153e+00	2.588700e-02	2.335843e-02	2.202035e-02	2.528570e-03	2.677000e-03
10790.000000	1.073502e+00	5.852982e+00	2.189100e-02	2.338162e-02	2.201521e-02	-1.490619e-03	2.585000e-03
10794.000000	1.073900e+00	5.850812e+00	2.888500e-02	2.340612e-02	2.201008e-02	5.478878e-03	2.690000e-03
10798.000000	1.074298e+00	5.848645e+00	2.529200e-02	2.343200e-02	2.200497e-02	1.860003e-03	2.639000e-03
10802.000000	1.074696e+00	5.846478e+00	2.265000e-02	2.345931e-02	2.199986e-02	-8.093067e-04	2.568000e-03
10806.000000	1.075094e+00	5.844314e+00	2.735500e-02	2.348812e-02	2.199476e-02	3.866883e-03	2.672000e-03
10810.000000	1.075492e+00	5.842151e+00	2.200400e-02	2.351850e-02	2.198968e-02	-1.514499e-03	2.579000e-03
10814.000000	1.075890e+00	5.839989e+00	2.341400e-02	2.355053e-02	2.198460e-02	-1.365310e-04	2.590000e-03
10818.000000	1.076288e+00	5.837829e+00	2.577100e-02	2.358430e-02	2.197954e-02	2.186705e-03	2.662000e-03
10822.000000	1.076686e+00	5.835671e+00	2.528900e-02	2.361988e-02	2.197448e-02	1.669119e-03	2.622000e-03
10826.000000	1.077084e+00	5.833514e+00	2.532000e-02	2.365738e-02	2.196944e-02	1.662615e-03	2.614000e-03
10830.000000	1.077482e+00	5.831359e+00	3.033700e-02	2.369691e-02	2.196441e-02	6.640090e-03	2.718000e-03
10834.000000	1.077880e+00	5.829206e+00	2.772500e-02	2.373857e-02	2.195939e-02	3.986433e-03	2.694000e-03
10838.000000	1.078278e+00	5.827054e+00	2.403000e-02	2.378248e-02	2.195438e-02	2.475224e-04	2.604000e-03
10842.000000	1.078676e+00	5.824904e+00	2.504600e-02	2.382877e-02	2.194937e-02	1.217230e-03	2.628000e-03
10846.000000	1.079074e+00	5.822755e+00	2.418600e-02	2.387759e-02	2.194438e-02	3.084149e-04	2.634000e-03
10850.000000	1.079472e+00	5.820608e+00	2.570600e-02	2.392907e-02	2.193940e-02	1.776927e-03	2.612000e-03
10854.000000	1.079870e+00	5.818462e+00	2.628600e-02	2.398340e-02	2.193443e-02	2.302602e-03	2.643000e-03
10858.000000	1.080268e+00	5.816318e+00	2.879800e-02	2.404074e-02	2.192948e-02	4.757264e-03	2.687000e-03
10862.000000	1.080667e+00	5.814176e+00	2.220500e-02	2.410128e-02	2.192453e-02	-1.896280e-03	2.570000e-03
10866.000000	1.081065e+00	5.812035e+00	2.220700e-02	2.416524e-02	2.191959e-02	-1.958236e-03	2.573000e-03
10870.000000	1.081463e+00	5.809896e+00	2.484000e-02	2.423283e-02	2.191466e-02	6.071694e-04	2.647000e-03
10874.000000	1.081861e+00	5.807758e+00	2.832200e-02	2.430431e-02	2.190975e-02	4.017691e-03	2.682000e-03
10878.000000	1.082259e+00	5.805622e+00	2.715500e-02	2.437994e-02	2.190484e-02	2.775063e-03	2.649000e-03
10882.000000	1.082657e+00	5.803488e+00	2.776900e-02	2.446001e-02	2.189994e-02	3.308993e-03	2.677000e-03
10886.000000	1.083055e+00	5.801355e+00	2.465300e-02	2.454483e-02	2.189506e-02	1.081651e-04	2.628000e-03
10890.000000	1.083453e+00	5.799223e+00	2.120600e-02	2.463477e-02	2.189018e-02	-3.428768e-03	2.546000e-03
10894.000000	1.083851e+00	5.797094e+00	2.550500e-02	2.473019e-02	2.188532e-02	7.748137e-04	2.667000e-03
10898.000000	1.084249e+00	5.794965e+00	2.936400e-02	2.483151e-02	2.188046e-02	4.532495e-03	2.707000e-03
10902.000000	1.084647e+00	5.792839e+00	2.917200e-02	2.493918e-02	2.187562e-02	4.232818e-03	2.690000e-03
10906.000000	1.085045e+00	5.790713e+00	2.556100e-02	2.505372e-02	2.187079e-02	5.072823e-04	2.619000e-03
10910.000000	1.085443e+00	5.788590e+00	2.455800e-02	2.517567e-02	2.186596e-02	-6.176669e-04	2.642000e-03
10914.000000	1.085841e+00	5.786468e+00	2.256800e-02	2.530564e-02	2.186115e-02	-2.737640e-03	2.581000e-03
10918.000000	1.086239e+00	5.784347e+00	3.290600e-02	2.544431e-02	2.185635e-02	7.461688e-03	2.765000e-03
10922.000000	1.086637e+00	5.782229e+00	2.796600e-02	2.559243e-02	2.185156e-02	2.373570e-03	2.677000e-03
10926.000000	1.087035e+00	5.780111e+00	2.569700e-02	2.575083e-02	2.184678e-02	-5.382683e-05	2.644000e-03
10930.000000	1.087433e+00	5.777995e+00	2.295700e-02	2.592042e-02	2.184201e-02	-2.963425e-03	2.579000e-03
10934.000000	1.087831e+00	5.775881e+00	3.009000e-02	2.610226e-02	2.183725e-02	3.987745e-03	2.692000e-03
10938.000000	1.088230e+00	5.773768e+00	2.670300e-02	2.629747e-02	2.183249e-02	4.055309e-04	2.645000e-03
10942.000000	1.088628e+00	5.771657e+00	2.891600e-02	2.650736e-02	2.182775e-02	2.408643e-03	2.684000e-03
10946.000000	1.089026e+00	5.769548e+00	2.854800e-02	2.673337e-02	2.182303e-02	1.814631e-03	2.685000e-03
10950.000000	1.089424e+00	5.767440e+00	2.538100e-02	2.697714e-02	2.181831e-02	-1.596136e-03	2.607000e-03
10954.000000	1.089822e+00	5.765333e+00	2.819700e-02	2.724050e-02	2.181360e-02	9.564972e-04	2.663000e-03
10958.000000	1.090220e+00	5.763228e+00	2.384100e-02	2.752556e-02	2.180890e-02	-3.684557e-03	2.585000e-03
10962.000000	1.090618e+00	5.761125e+00	2.730600e-02	2.783467e-02	2.180421e-02	-5.286717e-04	2.671000e-03
10966.000000	1.091016e+00	5.759023e+00	2.651800e-02	2.817055e-02	2.179953e-02	-1.652550e-03	2.631000e-03
10970.000000	1.091414e+00	5.756922e+00	2.659100e-02	2.849094e-02	2.179486e-02	-1.899943e-03	2.639000e-03
10974.000000	1.091812e+00	5.754823e+00	2.874200e-02	2.889080e-02	2.179021e-02	-1.487991e-04	2.682000e-03
10978.000000	1.092210e+00	5.752726e+00	2.663800e-02	2.932813e-02	2.178556e-02	-2.690131e-03	2.625000e-03
10982.000000	1.092608e+00	5.750630e+00	3.072300e-02	2.980767e-02	2.178092e-02	9.153347e-04	2.706000e-03
10986.000000	1.093006e+00	5.748536e+00	3.357100e-02	3.033489e-02	2.177629e-02	3.236108e-03	2.737000e-03
10990.000000	1.093404e+00	5.746443e+00	2.712700e-02	3.091621e-02	2.177168e-02	-3.789213e-03	2.641000e-03
10994.000000	1.093802e+00	5.744352e+00	2.543000e-02	3.155914e-02	2.176707e-02	-6.129137e-03	2.631000e-03
10998.000000	1.094200e+00	5.742262e+00	3.012100e-02	3.227253e-02	2.176248e-02	-2.151528e-03	2.693000e-03
11002.000000	1.094598e+00	5.740174e+00	3.314300e-02	3.306696e-02	2.175789e-02	7.604101e-05	2.732000e-03
11006.000000	1.094996e+00	5.738088e+00	3.150900e-02	3.395527e-02	2.175331e-02	-2.446266e-03	2.714000e-03
11010.000000	1.095394e+00	5.736002e+00	3.346500e-02	3.495353e-02	2.174875e-02	-1.488534e-03	2.742000e-03
11014.000000	1.095793e+00	5.733919e+00	3.107400e-02	3.608307e-02	2.174419e-02	-5.009066e-03	2.709000e-03
11018.000000	1.096191e+00	5.731837e+00	2.790900e-02	3.737453e-02	2.173965e-02	-9.465529e-03	2.663000e-03
11022.000000	1.096589e+00	5.729756e+00	3.163100e-02	3.887676e-02	2.173511e-02	-7.245763e-03	2.700000e-03
11026.000000	1.096987e+00	5.727677e+00	3.154400e-02	4.067499e-02	2.173059e-02	-9.130991e-03	2.728000e-03
11030.000000	1.097385e+00	5.725599e+00	3.609900e-02	4.292669e-02	2.172607e-02	-6.827694e-03	2.781000e-03
11034.000000	1.097783e+00	5.723523e+00	3.638900e-02	4.592805e-02	2.172157e-02	-9.539048e-03	2.795000e-03
11038.000000	1.098181e+00	5.721449e+00	4.439400e-02	5.022830e-02	2.171707e-02	-5.834300e-03	2.954000e-03
11042.000000	1.098579e+00	5.719376e+00	4.659300e-02	5.681061e-02	2.171259e-02	-1.021761e-02	2.976000e-03
11046.000000	1.098977e+00	5.717304e+00	4.804400e-02	6.735026e-02	2.170812e-02	-1.930626e-02	2.997000e-03
11050.000000	1.099375e+00	5.715234e+00	6.732600e-02	8.453771e-02	2.170365e-02	-1.721171e-02	3.316000e-03
11054.000000	1.099773e+00	5.713165e+00	9.847100e-02	1.124103e-01	2.169920e-02	-1.393931e-02	3.709000e-03
11058.000000	1.100171e+00	5.711098e+00	1.345620e-01	1.565742e-01	2.169475e-02	-2.201220e-02	4.152000e-03
11062.000000	1.100569e+00	5.709033e+00	2.100180e-01	2.241361e-01	2.169032e-02	-1.411809e-02	4.941000e-03
11066.000000	1.100967e+00	5.706969e+00	3.225420e-01	3.231352e-01	2.168590e-02	-5.932345e-04	5.923000e-03
11070.000000	1.101365e+00	5.704906e+00	4.883740e-01	4.613137e-01	2.168148e-02	2.706029e-02	7.148000e-03
11074.000000	1.101763e+00	5.702845e+00	6.747640e-01	6.442177e-01	2.167708e-02	3.054631e-02	8.301000e-03
11078.000000	1.102161e+00	5.700785e+00	9.237760e-01	8.728727e-01	2.167269e-02	5.090328e-02	9.636000e-03
11082.000000	1.102559e+00	5.698727e+00	1.223268e+00	1.141544e+00	2.166830e-02	8.172420e-02	1.101300e-02
11086.000000	1.102957e+00	5.696670e+00	1.527501e+00	1.436246e+00	2.166393e-02	9.125537e-02	1.225700e-02
11090.000000	1.103356e+00	5.694615e+00	1.805520e+00	1.734601e+00	2.165956e-02	7.091858e-02	1.330000e-02
11094.000000	1.103754e+00	5.692562e+00	2.064462e+00	2.007424e+00	2.165521e-02	5.703764e-02	1.418500e-02
11098.000000	1.104152e+00	5.690509e+00	2.216659e+00	2.222334e+00	2.165087e-02	-5.675204e-03	1.467500e-02
11102.000000	1.104550e+00	5.688459e+00	2.330681e+00	2.349858e+00	2.164653e-02	-1.917696e-02	1.503300e-02
11106.000000	1.104948e+00	5.686409e+00	2.333963e+00	2.371406e+00	2.164221e-02	-3.744283e-02	1.503100e-02
11110.000000	1.105346e+00	5.684362e+00	2.237353e+00	2.285365e+00	2.163790e-02	-4.801225e-02	1.471400e-02
11114.000000	1.105744e+00	5.682315e+00	2.088148e+00	2.106911e+00	2.163359e-02	-1.876319e-02	1.421800e-02
11118.000000	1.106142e+00	5.680271e+00	1.855168e+00	1.862251e+00	2.162930e-02	-7.082831e-03	1.341600e-02
11122.000000	1.106540e+00	5.678227e+00	1.568896e+00	1.581656e+00	2.162502e-02	-1.276011e-02	1.236300e-02
11126.000000	1.106938e+00	5.676185e+00	1.295706e+00	1.293875e+00	2.162074e-02	1.830994e-03	1.127200e-02
11130.000000	1.107336e+00	5.674145e+00	1.017422e+00	1.022317e+00	2.161648e-02	-4.894717e-03	1.003200e-02
