# Duplex in HR for IRF S2 bank 
# normalised to "./vanadium_mode6/"
# DIFC = 54902.18695 [µs/Å] L = 153.580 [m] two_theta = 90.00 [deg]
# tof [µs]               Y [counts]               E [counts]
4.009452341631884337e+04 1.544661548684439370e-03 1.544661548684439370e-03
4.012637730271166947e+04 0.000000000000000000e+00 0.000000000000000000e+00
4.015823118910450285e+04 3.914243982536624172e-02 3.914243982536623478e-02
4.019008507549733622e+04 2.197274204928322539e-01 1.159475805816519989e-01
4.022193896189016232e+04 1.799581741231551582e-02 1.745496815805451518e-02
4.025379284828299569e+04 3.901123018361533634e-01 1.993375362436897724e-01
4.028564673467582179e+04 2.212018009604767993e-02 2.111711131266780922e-02
4.031750062106865516e+04 1.316363977683599196e-01 9.459547471307208633e-02
4.034935450746149581e+04 1.043686893063562743e-01 7.528647330347441879e-02
4.038120839385431464e+04 3.338792306741157900e-01 1.395192151849775908e-01
4.041306228024715529e+04 3.105240322535232078e-01 1.393933835386072240e-01
4.044491616663997411e+04 5.546461103854818941e-02 3.943629023119311211e-02
4.047677005303281476e+04 4.590294226530721167e-01 1.620423693466369330e-01
4.050862393942564813e+04 2.350168293842377354e-01 1.122004450949280613e-01
4.054047782581847423e+04 2.484217048264834304e-01 1.064174359309727619e-01
4.057233171221130760e+04 1.720427388729000029e-01 8.790753133805569164e-02
4.060418559860413370e+04 2.241198120102106950e-01 1.033691713861661365e-01
4.063603948499696708e+04 1.906040406498434037e-01 8.197396653849493842e-02
4.066789337138980773e+04 3.852131124672415474e-01 1.259969062731095268e-01
4.069974725778262655e+04 2.051252765930526578e-01 1.097562527316530562e-01
4.073160114417546720e+04 1.802004063609937701e-01 8.005157295098887238e-02
4.076345503056828602e+04 7.761746158003206553e-01 1.711856472601250012e-01
4.079530891696112667e+04 5.517319285673271345e+00 4.822307261404816248e-01
4.082716280335396004e+04 1.743113134267348130e+01 7.807744044242072023e-01
4.085901668974678614e+04 2.477703485595118948e+01 8.659921428920910325e-01
4.089087057613961952e+04 1.344402371496159532e+01 5.763271495901214347e-01
4.092272446253244561e+04 4.494026452712872377e+00 3.147582046203520334e-01
4.095457834892527899e+04 6.790229341018009235e-01 1.230972299258963482e-01
4.098643223531811236e+04 1.963938691986379936e-01 7.710451210566099389e-02
4.101828612171093846e+04 1.928834297344461934e-01 6.243344494055415306e-02
4.105014000810377183e+04 2.675460582934992559e-01 7.452713295102619817e-02
4.108199389449659793e+04 1.384209424358802398e-01 4.989621693383461398e-02
4.111384778088943131e+04 2.085999461285964196e-01 6.848604732106174098e-02
