# Duplex in HR for IRF N2 bank 
# normalised to "./vanadium_mode6/"
# DIFC = 54902.18695 [µs/Å] L = 153.580 [m] two_theta = 90.00 [deg]
# tof [µs]               Y [counts]               E [counts]
4.009452341631884337e+04 1.532892255343687171e-01 9.475827774067137332e-02
4.012637730271166947e+04 0.000000000000000000e+00 0.000000000000000000e+00
4.015823118910450285e+04 2.999553553277158752e-02 2.999553553277158752e-02
4.019008507549733622e+04 7.804040454236436377e-04 7.804040454236436377e-04
4.022193896189016232e+04 0.000000000000000000e+00 0.000000000000000000e+00
4.025379284828299569e+04 9.412219983703991322e-02 5.402004296097271535e-02
4.028564673467582179e+04 6.064719424096198103e-02 4.761317417917658446e-02
4.031750062106865516e+04 7.635364181107053005e-02 5.626259757395322275e-02
4.034935450746149581e+04 7.046682768060473501e-02 4.988294084745686918e-02
4.038120839385431464e+04 8.370332460873262936e-02 4.970163375594725819e-02
4.041306228024715529e+04 6.085282524275040239e-02 4.504672733576149668e-02
4.044491616663997411e+04 1.172599380004775288e-01 6.784949099251308402e-02
4.047677005303281476e+04 8.400680979968874751e-02 5.188396168582220386e-02
4.050862393942564813e+04 1.218874600749110665e-01 6.976934268833466513e-02
4.054047782581847423e+04 3.232928293933114983e-01 1.081346061974758216e-01
4.057233171221130760e+04 1.390655574444610298e-01 7.038947278355074666e-02
4.060418559860413370e+04 3.108672043008787744e-01 1.032763839404276518e-01
4.063603948499696708e+04 1.005825789112972657e-01 5.036838627506346616e-02
4.066789337138980773e+04 1.049196521717559033e-01 5.637183541141373849e-02
4.069974725778262655e+04 9.232850868408315481e-02 5.250378491813891685e-02
4.073160114417546720e+04 2.061454846303003574e-01 8.303594108504239180e-02
4.076345503056828602e+04 3.469497511283234914e-01 1.186462976884618548e-01
4.079530891696112667e+04 1.626805388395260232e+00 2.411266660994704214e-01
4.082716280335396004e+04 7.930218744328512592e+00 5.132076935641525228e-01
4.085901668974678614e+04 1.865265910256541915e+01 7.244701587170380153e-01
4.089087057613961952e+04 1.730662336935966650e+01 6.545547513041972687e-01
4.092272446253244561e+04 9.079035987093252658e+00 4.398065673999994596e-01
4.095457834892527899e+04 1.705636944116702747e+00 1.733994165273033405e-01
4.098643223531811236e+04 5.576744608889223631e-01 1.246375280709398348e-01
4.101828612171093846e+04 1.968512078424898282e-01 6.576851931591315426e-02
4.105014000810377183e+04 3.184707213776570844e-01 7.654257898619309941e-02
4.108199389449659793e+04 1.985041714842479821e-01 6.570761339614701602e-02
4.111384778088943131e+04 1.014701741212870045e-01 3.961242468054339966e-02
4.114570166728227196e+04 2.038870501100294164e-01 6.748893289277457797e-02
