XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       441.402      449.532      449.714
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4070.163      27.892
   0.1953          4254.699      28.983
   0.2953          4262.755      29.274
   0.3953          4154.898      28.716
   0.4953          3807.395      27.288
   0.5953          3427.240      25.682
   0.6953          3047.556      24.150
   0.7953          2643.302      22.550
   0.8953          2270.969      20.834
   0.9953          1930.564      19.258
   1.0953          1607.190      17.516
   1.1953          1341.871      15.974
   1.2953          1040.691      14.093
   1.3953           776.071      12.159
   1.4953           543.154      10.165
   1.5953           439.512       9.121
   1.6953           384.706       8.579
   1.7953           345.382       8.123
   1.8953           340.311       8.032
   1.9953           323.933       7.840
   2.0953           293.266       7.480
   2.1953           296.853       7.521
   2.2953           297.463       7.505
   2.3953           279.896       7.293
   2.4953           275.141       7.261
   2.5953           267.373       7.085
   2.6953           262.147       7.108
   2.7953           260.273       7.029
   2.8953           249.155       6.905
   2.9953           245.408       6.846
   3.0953           248.039       6.895
   3.1953           235.259       6.711
   3.2953           240.591       6.778
   3.3953           236.988       6.788
   3.4953           241.403       6.946
   3.5953           237.827       6.891
   3.6953           245.477       6.918
   3.7953           252.997       6.979
   3.8953           264.938       7.124
   3.9953           286.365       7.411
   4.0953           308.662       7.652
   4.1953           359.272       8.330
   4.2953           390.732       8.609
   4.3953           437.809       9.115
   4.4953           498.307       9.720
   4.5953           543.168      10.203
   4.6953           607.756      10.704
   4.7953           666.071      11.243
   4.8953           697.893      11.514
   4.9953           677.142      11.373
   5.0953           682.159      11.361
   5.1953           720.987      11.678
   5.2953           692.464      11.500
   5.3953           701.615      11.539
   5.4953           707.094      11.559
   5.5953           711.515      11.633
   5.6953           694.269      11.504
   5.7953           697.680      11.540
   5.8953           704.781      11.524
   5.9953           706.553      11.647
   6.0953           691.673      11.493
   6.1953           688.951      11.502
   6.2953           707.991      11.627
   6.3953           692.407      11.494
   6.4953           676.648      11.429
   6.5953           690.792      11.518
   6.6953           671.679      11.572
   6.7953           661.425      11.493
   6.8953           674.432      11.456
   6.9953           644.411      11.078
   7.0953           648.484      11.125
   7.1953           654.929      11.214
   7.2953           649.483      11.086
   7.3953           633.451      11.020
   7.4953           665.424      11.249
   7.5953           631.642      10.934
   7.6953           625.912      10.891
   7.7953           608.378      10.745
   7.8953           631.201      10.930
   7.9953           646.388      11.013
   8.0953           615.327      10.832
   8.1953           614.592      10.777
   8.2953           615.302      10.778
   8.3953           624.453      10.867
   8.4953           609.107      10.746
