









10 15229
10.011 15160.2238016642
10.022 15143.008604668
10.033 15141.7694074471
10.044 15173.8036314904
10.055 15196.1019410643
10.066 15065.9629207797
10.077 15074.6065214683
10.088 15040.4492910922
10.099 15200.9307327786
10.11 15258.9487337503
10.121 15304.9181776383
10.132 15105.9366413786
10.143 15149.5267081214
10.154 15220.2931683231
10.165 15150.7795941957
10.176 15114.6566506573
10.187 15133.8955002513
10.198 15302.5101426802
10.209 15194.3992796062
10.22 15166.7141111482
10.231 15100.0085454234
10.242 15023.789708377
10.253 15004.3936976491
10.264 15058.4734124347
10.275 15273.4210535184
10.286 15183.0995500263
10.297 15135.0097812252
10.308 15163.0711016926
10.319 15139.9792610824
10.33 15021.0233183836
10.341 15192.2827048525
10.352 15080.2400204896
10.363 15188.9591990182
10.374 15153.3228962461
10.385 15148.770837361
10.396 15173.1897522544
10.407 15102.8783707169
10.418 14918.0826934619
10.429 15044.6129151462
10.44 14993.0372133463
10.451 14911.4035986441
10.462 15133.0392452995
10.473 15139.4943647632
10.484 14930.0250154936
10.495 14962.4473280668
10.506 15029.8376047158
10.517 14981.1665918115
10.528 14973.0347579862
10.539 15137.0195308397
10.55 14980.4728594176
10.561 15108.4565629025
10.572 14970.4135922692
10.583 15025.5600429338
10.594 15083.4167012298
10.605 15056.4043023677
10.616 14832.5759028316
10.627 14926.9398581342
10.638 14836.7584089327
10.649 14938.440744905
10.66 14987.049622251
10.671 14909.2722272055
10.682 14653.1012370037
10.693 14841.5028636582
10.704 14887.0267548633
10.715 14860.124099269
10.726 14897.5157035859
10.737 14842.6961416524
10.748 14755.8711353027
10.759 14823.4764549389
10.77 14826.8706735227
10.781 14789.3636271543
10.792 14834.2739670695
10.803 14840.6781766498
10.814 14870.7337050519
10.825 14911.1070924475
10.836 14927.1252552916
10.847 14650.7619294378
10.858 14778.6693661646
10.869 14666.8885936369
10.88 14952.929610456
10.891 14822.7335876186
10.902 14833.7482683082
10.913 14597.5910736991
10.924 14776.253631541
10.935 14791.2021976899
10.946 14663.9600756003
10.957 14683.85384621
10.968 14616.0071382683
10.979 14722.4686253261
