XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       159.229      166.236      166.203
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4105.333      28.027
   0.1953          4294.636      29.134
   0.2953          4262.898      29.289
   0.3953          4145.249      28.697
   0.4953          3821.282      27.351
   0.5953          3466.971      25.843
   0.6953          3099.532      24.367
   0.7953          2632.915      22.518
   0.8953          2285.159      20.909
   0.9953          1930.235      19.266
   1.0953          1624.891      17.621
   1.1953          1298.700      15.722
   1.2953          1064.304      14.259
   1.3953           779.155      12.189
   1.4953           559.904      10.326
   1.5953           437.309       9.103
   1.6953           376.862       8.495
   1.7953           354.154       8.229
   1.8953           325.659       7.861
   1.9953           318.373       7.777
   2.0953           295.096       7.508
   2.1953           300.592       7.572
   2.2953           295.681       7.486
   2.3953           272.760       7.203
   2.4953           272.928       7.235
   2.5953           286.644       7.340
   2.6953           249.864       6.943
   2.7953           271.380       7.181
   2.8953           260.913       7.070
   2.9953           249.869       6.912
   3.0953           246.757       6.881
   3.1953           241.253       6.799
   3.2953           236.629       6.725
   3.3953           248.332       6.952
   3.4953           248.257       7.047
   3.5953           239.671       6.922
   3.6953           233.813       6.755
   3.7953           256.149       7.026
   3.8953           257.534       7.027
   3.9953           274.555       7.260
   4.0953           308.598       7.655
   4.1953           360.607       8.350
   4.2953           382.394       8.521
   4.3953           425.145       8.987
   4.4953           462.360       9.368
   4.5953           532.209      10.105
   4.6953           566.285      10.337
   4.7953           618.680      10.841
   4.8953           690.620      11.460
   4.9953           660.431      11.237
   5.0953           683.047      11.375
   5.1953           707.333      11.572
   5.2953           680.936      11.409
   5.3953           714.495      11.651
   5.4953           704.981      11.548
   5.5953           691.487      11.474
   5.6953           697.271      11.535
   5.7953           717.508      11.709
   5.8953           695.881      11.457
   5.9953           694.589      11.554
   6.0953           693.147      11.511
   6.1953           682.735      11.456
   6.2953           667.421      11.294
   6.3953           699.039      11.555
   6.4953           680.628      11.469
   6.5953           664.386      11.301
   6.6953           673.765      11.596
   6.7953           659.704      11.484
   6.8953           661.095      11.348
   6.9953           644.308      11.082
   7.0953           643.798      11.090
   7.1953           642.527      11.113
   7.2953           623.809      10.871
   7.3953           646.387      11.138
   7.4953           626.498      10.921
   7.5953           625.087      10.883
   7.6953           626.364      10.900
   7.7953           620.593      10.858
   7.8953           618.772      10.827
   7.9953           636.153      10.931
   8.0953           618.249      10.863
   8.1953           607.842      10.723
   8.2953           598.350      10.634
   8.3953           641.000      11.016
   8.4953           601.948      10.688
   8.5953           611.561      10.744
   8.6953           585.162      10.510
   8.7953           576.597      10.432
   8.8953           568.919      10.377
   8.9953           582.505      10.499
   9.0953           572.408      10.397
   9.1953           569.862      10.416
   9.2953           588.009      10.580
   9.3953           581.486      10.466
   9.4953           568.504      10.425
   9.5953           572.965      10.433
   9.6953           557.285      10.309
   9.7953           570.782      10.532
   9.8953           577.617      10.728
   9.9953           560.804      10.557
  10.0953           554.552      10.339
  10.1953           556.084      10.280
  10.2953           535.874      10.107
  10.3953           533.459      10.056
  10.4953           551.123      10.213
  10.5953           558.425      10.261
  10.6953           542.596      10.151
