XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       58.6120      58.0350      58.0020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4089.391      27.990
   0.1953          4255.282      29.018
   0.2953          4312.961      29.479
   0.3953          4174.303      28.816
   0.4953          3904.274      27.664
   0.5953          3519.143      26.053
   0.6953          3083.074      24.318
   0.7953          2608.824      22.428
   0.8953          2287.825      20.935
   0.9953          1955.177      19.402
   1.0953          1674.762      17.901
   1.1953          1335.968      15.956
   1.2953          1034.642      14.068
   1.3953           792.925      12.304
   1.4953           558.887      10.323
   1.5953           427.796       9.009
   1.6953           375.415       8.484
   1.7953           334.291       8.000
   1.8953           328.157       7.897
   1.9953           319.342       7.793
   2.0953           316.132       7.776
   2.1953           297.720       7.540
   2.2953           297.190       7.510
   2.3953           286.632       7.388
   2.4953           279.611       7.328
   2.5953           268.547       7.109
   2.6953           259.263       7.077
   2.7953           256.296       6.983
   2.8953           249.915       6.923
   2.9953           249.224       6.907
   3.0953           228.031       6.619
   3.1953           245.779       6.867
   3.2953           236.350       6.725
   3.3953           230.897       6.707
   3.4953           231.128       6.804
   3.5953           245.980       7.017
   3.6953           243.298       6.895
   3.7953           240.633       6.814
   3.8953           259.777       7.062
   3.9953           281.439       7.356
   4.0953           313.740       7.724
   4.1953           343.625       8.156
   4.2953           384.014       8.544
   4.3953           431.004       9.054
   4.4953           466.361       9.414
   4.5953           529.992      10.090
   4.6953           564.347      10.326
   4.7953           617.551      10.838
   4.8953           654.729      11.165
   4.9953           671.598      11.339
   5.0953           678.589      11.345
   5.1953           681.102      11.363
   5.2953           694.232      11.527
   5.3953           684.376      11.409
   5.4953           703.589      11.544
   5.5953           676.144      11.353
   5.6953           682.089      11.416
   5.7953           704.626      11.611
   5.8953           672.757      11.272
   5.9953           678.904      11.430
   6.0953           687.887      11.474
   6.1953           678.199      11.425
   6.2953           666.341      11.292
   6.3953           682.315      11.423
   6.4953           665.802      11.350
   6.5953           659.633      11.268
   6.6953           672.209      11.590
   6.7953           651.118      11.416
   6.8953           655.289      11.305
   6.9953           663.824      11.256
   7.0953           649.195      11.143
   7.1953           648.720      11.173
   7.2953           642.803      11.042
   7.3953           627.012      10.977
   7.4953           627.472      10.936
   7.5953           621.883      10.862
   7.6953           623.727      10.884
   7.7953           620.607      10.864
   7.8953           627.705      10.912
   7.9953           624.721      10.839
   8.0953           596.846      10.680
   8.1953           607.465      10.727
   8.2953           621.056      10.841
   8.3953           574.114      10.432
   8.4953           589.206      10.581
   8.5953           624.425      10.863
   8.6953           592.700      10.584
   8.7953           601.137      10.658
   8.8953           603.372      10.693
   8.9953           607.306      10.727
   9.0953           571.421      10.395
   9.1953           575.151      10.471
   9.2953           582.834      10.540
   9.3953           577.496      10.436
   9.4953           568.832      10.434
   9.5953           577.107      10.477
   9.6953           585.680      10.576
   9.7953           594.853      10.759
   9.8953           583.129      10.786
   9.9953           571.059      10.660
  10.0953           583.239      10.610
  10.1953           571.627      10.429
  10.2953           573.014      10.458
  10.3953           565.456      10.360
  10.4953           576.455      10.452
  10.5953           545.717      10.149
  10.6953           550.503      10.231
  10.7953           551.982      10.166
  10.8953           552.154      10.187
  10.9953           539.787      10.069
  11.0953           543.915      10.030
  11.1953           550.324      10.146
  11.2953           573.110      10.971
  11.3953           543.593       9.906
  11.4953           543.028      10.049
  11.5953           536.109      10.004
  11.6953           522.360       9.941
  11.7953           539.550      10.068
  11.8953           549.040      10.171
  11.9953           532.249      10.009
  12.0953           521.499       9.937
  12.1953           532.480      10.015
  12.2953           518.533       9.859
  12.3953           527.310      10.034
  12.4953           541.621      10.128
  12.5953           543.901      10.135
  12.6953           529.919      10.020
  12.7953           531.436      10.099
  12.8953           524.349       9.918
  12.9953           519.252       9.986
  13.0953           524.294      10.346
  13.1953           513.291       9.783
  13.2953           526.649      10.256
  13.3953           534.055      10.077
  13.4953           526.463      10.034
  13.5953           535.485      10.045
  13.6953           510.158       9.871
  13.7953           516.912       9.857
  13.8953           505.293       9.823
  13.9953           509.033       9.748
  14.0953           520.130       9.973
  14.1953           519.163       9.780
  14.2953           521.568       9.982
  14.3953           529.074       9.954
  14.4953           503.751       9.738
  14.5953           515.403       9.921
  14.6953           504.128       9.713
  14.7953           500.821       9.690
  14.8953           510.568       9.793
  14.9953           515.226       9.886
  15.0953           519.918      10.051
  15.1953           508.419       9.479
  15.2953           507.070       9.958
  15.3953           506.179       9.761
  15.4953           488.360       9.576
  15.5953           499.732       9.724
  15.6953           500.381       9.759
  15.7953           509.533       9.782
  15.8953           508.925       9.879
  15.9953           494.405       9.677
  16.0953           499.606       9.787
  16.1953           501.554       9.802
  16.2953           507.053      10.016
  16.3953           507.373      10.063
  16.4953           508.854       9.911
  16.5953           504.050       9.775
  16.6953           511.906       9.901
  16.7953           510.062       9.847
  16.8953           500.521       9.764
  16.9953           507.195       9.794
  17.0953           499.349       9.741
  17.1953           499.230       9.725
  17.2953           490.389       9.610
  17.3953           508.539       9.821
  17.4953           510.392       9.830
  17.5953           497.688       9.643
  17.6953           493.610       9.682
  17.7953           509.241       9.813
  17.8953           484.752       9.534
  17.9953           505.750       9.751
  18.0953           504.347       9.772
  18.1953           495.688       9.667
  18.2953           508.974       9.801
  18.3953           510.476       9.793
  18.4953           507.718       9.817
  18.5953           516.794       9.842
  18.6953           511.037       9.813
  18.7953           501.719       9.757
  18.8953           497.058       9.703
  18.9953           484.876       9.553
  19.0953           517.540       9.922
  19.1953           507.955       9.827
  19.2953           500.832       9.772
  19.3953           488.674       9.651
  19.4953           501.722      10.010
  19.5953           489.647       9.805
  19.6953           503.628       9.806
  19.7953           485.211       9.614
  19.8953           487.903       9.619
  19.9953           479.024       9.520
  20.0953           480.329       9.523
  20.1953           509.937       9.647
  20.2953           510.211      10.190
  20.3953           488.612       9.526
  20.4953           510.408       9.564
  20.5953           488.333       9.720
  20.6953           535.118       9.992
  20.7953           541.022      10.080
  20.8953           539.879      10.062
  20.9953           537.033      10.083
  21.0953           561.828      10.244
  21.1953           558.143      10.242
  21.2953           562.366      10.267
  21.3953           545.707      10.139
  21.4953           528.465       9.969
  21.5953           526.352       9.935
  21.6953           512.125       9.856
  21.7953           492.653       9.579
  21.8953           499.135       9.713
  21.9953           510.851       9.792
  22.0953           508.433       9.798
  22.1953           528.832      10.024
  22.2953           523.834       9.946
  22.3953           506.556       9.818
  22.4953           493.725       9.692
  22.5953           496.156       9.740
  22.6953           477.372       9.726
  22.7953           494.217       9.869
  22.8953           485.610       9.628
  22.9953           471.828       9.420
  23.0953           472.912       9.460
  23.1953           496.677       9.689
  23.2953           484.879       9.531
  23.3953           465.179       9.352
  23.4953           462.591       9.359
  23.5953           477.398       9.401
  23.6953           481.211       9.496
  23.7953           471.972       9.396
  23.8953           472.706       9.402
  23.9953           455.511       9.201
  24.0953           481.073       9.497
  24.1953           458.941       9.272
  24.2953           473.200       9.363
  24.3953           471.303       9.387
  24.4953           459.417       9.242
  24.5953           481.194       9.529
  24.6953           479.916       9.430
  24.7953           499.251       9.624
  24.8953           516.180       9.856
  24.9953           527.272       9.899
  25.0953           554.255      10.172
  25.1953           561.661      10.254
  25.2953           531.064       9.983
  25.3953           504.369       9.719
  25.4953           481.816       9.517
  25.5953           462.466       9.332
  25.6953           461.378       9.306
  25.7953           465.990       9.447
  25.8953           462.242       9.509
  25.9953           458.066       9.486
  26.0953           458.416       9.326
  26.1953           457.647       9.278
  26.2953           446.400       9.139
  26.3953           463.238       9.361
  26.4953           468.080       9.341
  26.5953           453.454       9.186
  26.6953           494.494       9.642
  26.7953           494.006       9.602
  26.8953           485.047       9.522
  26.9953           495.798       9.584
  27.0953           511.289       9.793
  27.1953           497.262       9.614
  27.2953           510.652       9.761
  27.3953           515.104       9.810
  27.4953           570.887      10.310
  27.5953           596.188      10.533
  27.6953           703.303      11.488
  27.7953           799.774      12.194
  27.8953           883.177      12.861
  27.9953           894.666      12.851
  28.0953           849.966      12.638
  28.1953           715.147      11.571
  28.2953           573.478      10.315
  28.3953           490.096       9.602
  28.4953           470.001       9.361
  28.5953           462.213       9.306
  28.6953           453.353       9.244
  28.7953           466.288       9.382
  28.8953           491.390       9.641
  28.9953           517.599       9.876
  29.0953           561.403      10.472
  29.1953           585.493      10.672
  29.2953           574.205      10.508
  29.3953           542.407      10.127
  29.4953           516.944       9.883
  29.5953           468.653       9.373
  29.6953           446.143       9.134
  29.7953           461.222       9.322
  29.8953           449.011       9.200
  29.9953           446.727       9.128
  30.0953           435.460       9.041
  30.1953           460.565       9.293
  30.2953           456.390       9.253
  30.3953           438.090       9.028
  30.4953           438.544       9.089
  30.5953           460.283       9.295
  30.6953           461.159       9.288
  30.7953           460.671       9.267
  30.8953           488.158       9.557
  30.9953           489.973       9.609
  31.0953           508.444       9.728
  31.1953           515.497       9.823
  31.2953           506.855       9.771
  31.3953           484.894       9.521
  31.4953           469.834       9.385
  31.5953           447.111       9.157
  31.6953           448.684       9.215
  31.7953           425.015       8.924
  31.8953           435.695       9.073
  31.9953           439.722       9.084
  32.0953           432.286       9.047
  32.1953           420.103       8.963
  32.2953           424.188       9.133
  32.3953           428.042       9.126
  32.4953           426.818       8.998
  32.5953           427.018       8.953
  32.6953           410.437       8.781
  32.7953           426.066       8.911
  32.8953           428.708       8.978
  32.9953           433.812       8.968
  33.0953           415.179       8.842
  33.1953           423.197       8.853
  33.2953           414.447       8.806
  33.3953           424.063       8.856
  33.4953           428.946       8.938
  33.5953           432.644       8.948
  33.6953           422.991       8.853
  33.7953           437.378       9.059
  33.8953           413.488       8.729
  33.9953           402.964       8.642
  34.0953           429.923       8.943
  34.1953           405.768       8.689
  34.2953           429.344       8.950
  34.3953           419.451       8.744
  34.4953           435.320       9.065
  34.5953           442.168       9.014
  34.6953           426.397       8.948
  34.7953           449.981       9.157
  34.8953           441.926       9.068
  34.9953           455.040       9.195
  35.0953           427.018       8.959
  35.1953           452.535       9.199
  35.2953           425.595       8.952
  35.3953           447.241       9.251
  35.4953           454.346       9.402
  35.5953           444.742       9.310
  35.6953           440.620       9.166
  35.7953           457.737       9.251
  35.8953           450.629       9.204
  35.9953           454.989       9.202
  36.0953           466.278       9.342
  36.1953           486.243       9.510
  36.2953           503.156       9.728
  36.3953           521.289       9.839
  36.4953           524.662       9.912
  36.5953           518.569       9.781
  36.6953           517.055       9.826
  36.7953           507.674       9.686
  36.8953           468.831       9.345
  36.9953           436.871       9.020
  37.0953           433.347       8.966
  37.1953           431.934       8.925
  37.2953           432.465       8.990
  37.3953           425.060       8.875
  37.4953           429.029       8.905
  37.5953           434.129       9.000
  37.6953           432.108       8.958
  37.7953           427.147       8.926
  37.8953           454.166       9.168
  37.9953           433.085       8.986
  38.0953           442.400       9.087
  38.1953           444.662       9.120
  38.2953           442.834       9.070
  38.3953           438.639       9.081
  38.4953           418.765       8.822
  38.5953           434.731       9.106
  38.6953           443.775       9.302
  38.7953           435.622       9.227
  38.8953           443.609       9.172
  38.9953           472.418       9.452
  39.0953           502.018       9.710
  39.1953           527.182       9.906
  39.2953           589.502      10.503
  39.3953           629.765      10.824
  39.4953           630.730      10.870
  39.5953           616.098      10.688
  39.6953           528.625       9.926
  39.7953           463.821       9.273
  39.8953           443.994       9.101
  39.9953           447.739       9.096
  40.0953           460.022       9.245
  40.1953           440.916       9.090
  40.2953           439.979       9.021
  40.3953           446.624       9.096
  40.4953           428.042       8.943
  40.5953           436.112       9.008
  40.6953           449.420       9.132
  40.7953           449.384       9.156
  40.8953           423.144       8.891
  40.9953           433.780       8.981
  41.0953           438.074       9.006
  41.1953           435.194       9.047
  41.2953           451.107       9.172
  41.3953           456.662       9.232
  41.4953           456.981       9.280
  41.5953           450.883       9.186
  41.6953           461.075       9.294
  41.7953           438.148       9.166
  41.8953           467.946       9.719
  41.9953           470.044       9.299
  42.0953           501.337       9.930
  42.1953           543.222      10.087
  42.2953           651.725      11.143
  42.3953           763.573      11.950
  42.4953           885.449      12.921
  42.5953           935.258      13.150
  42.6953           924.749      13.234
  42.7953           821.078      12.380
  42.8953           694.707      11.351
  42.9953           599.287      10.624
  43.0953           536.531       9.979
  43.1953           500.598       9.641
  43.2953           492.646       9.617
  43.3953           544.164      10.038
  43.4953           592.439      10.517
  43.5953           632.062      10.849
  43.6953           641.495      10.898
  43.7953           601.384      10.585
  43.8953           549.821      10.139
  43.9953           499.119       9.611
  44.0953           480.698       9.455
  44.1953           488.191       9.589
  44.2953           480.239       9.438
  44.3953           507.440       9.766
  44.4953           559.319      10.219
  44.5953           648.358      10.958
  44.6953           720.570      11.674
  44.7953           806.028      12.306
  44.8953           741.577      11.811
  44.9953           645.870      11.091
  45.0953           552.494      10.411
  45.1953           479.084       9.648
  45.2953           467.819       9.392
  45.3953           457.289       9.248
  45.4953           451.508       9.159
  45.5953           438.244       9.050
  45.6953           448.521       9.121
  45.7953           477.528       9.403
  45.8953           515.335       9.800
