XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       67.1860      66.9540      67.0020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4097.114      28.057
   0.1953          4284.586      29.160
   0.2953          4285.348      29.428
   0.3953          4222.213      29.023
   0.4953          3886.783      27.642
   0.5953          3509.307      26.055
   0.6953          3109.398      24.457
   0.7953          2637.141      22.583
   0.8953          2281.637      20.937
   0.9953          1960.890      19.459
   1.0953          1628.990      17.680
   1.1953          1329.549      15.941
   1.2953          1039.008      14.118
   1.3953           787.198      12.278
   1.4953           581.563      10.546
   1.5953           426.001       9.003
   1.6953           368.431       8.417
   1.7953           355.057       8.257
   1.8953           315.387       7.753
   1.9953           320.466       7.819
   2.0953           318.207       7.812
   2.1953           311.430       7.723
   2.2953           304.153       7.609
   2.3953           288.425       7.422
   2.4953           271.948       7.237
   2.5953           263.476       7.052
   2.6953           273.012       7.273
   2.7953           250.552       6.915
   2.8953           249.682       6.930
   2.9953           251.105       6.943
   3.0953           238.339       6.777
   3.1953           246.112       6.882
   3.2953           238.001       6.759
   3.3953           231.962       6.733
   3.4953           242.660       6.982
   3.5953           247.704       7.051
   3.6953           234.790       6.783
   3.7953           243.080       6.859
   3.8953           267.088       7.172
   3.9953           286.505       7.432
   4.0953           299.010       7.551
   4.1953           340.744       8.134
   4.2953           376.361       8.471
   4.3953           426.348       9.018
   4.4953           482.977       9.595
   4.5953           516.315       9.973
   4.6953           606.750      10.723
   4.7953           634.239      10.999
   4.8953           652.440      11.161
   4.9953           668.567      11.330
   5.0953           675.245      11.333
   5.1953           674.725      11.326
   5.2953           706.246      11.644
   5.3953           702.214      11.574
   5.4953           666.696      11.253
   5.5953           677.546      11.381
   5.6953           683.699      11.446
   5.7953           709.181      11.665
   5.8953           678.134      11.334
   5.9953           687.451      11.518
   6.0953           694.506      11.546
   6.1953           696.012      11.591
   6.2953           684.031      11.458
   6.3953           691.215      11.514
   6.4953           665.418      11.363
   6.5953           646.113      11.168
   6.6953           673.371      11.617
   6.7953           650.611      11.428
   6.8953           651.138      11.285
   6.9953           651.020      11.163
   7.0953           630.943      11.002
   7.1953           645.596      11.163
   7.2953           641.066      11.043
   7.3953           641.568      11.120
   7.4953           620.892      10.895
   7.5953           620.084      10.862
   7.6953           612.783      10.804
   7.7953           639.403      11.044
   7.8953           620.785      10.868
   7.9953           614.473      10.765
   8.0953           615.079      10.858
   8.1953           604.679      10.718
   8.2953           602.368      10.692
   8.3953           609.259      10.762
   8.4953           598.744      10.682
   8.5953           589.846      10.574
   8.6953           591.398      10.588
   8.7953           591.328      10.586
   8.8953           612.360      10.788
   8.9953           587.029      10.562
   9.0953           581.817      10.504
   9.1953           588.881      10.611
   9.2953           572.108      10.457
   9.3953           578.427      10.460
   9.4953           557.628      10.346
   9.5953           558.374      10.321
   9.6953           582.411      10.561
   9.7953           576.484      10.607
   9.8953           556.612      10.553
   9.9953           553.164      10.506
  10.0953           558.030      10.393
  10.1953           561.842      10.355
  10.2953           555.347      10.311
  10.3953           547.874      10.213
  10.4953           557.987      10.298
  10.5953           541.251      10.123
  10.6953           559.552      10.330
  10.7953           544.202      10.109
  10.8953           556.785      10.244
  10.9953           536.277      10.051
  11.0953           548.287      10.085
  11.1953           531.852       9.989
  11.2953           528.220      10.548
  11.3953           542.465       9.911
  11.4953           526.331       9.908
  11.5953           535.803      10.015
  11.6953           512.308       9.859
  11.7953           539.807      10.085
  11.8953           525.881       9.969
  11.9953           526.441       9.968
  12.0953           524.733       9.983
  12.1953           532.146      10.026
  12.2953           528.888       9.972
  12.3953           530.192      10.076
  12.4953           517.364       9.913
  12.5953           545.869      10.168
  12.6953           541.352      10.142
  12.7953           528.176      10.083
  12.8953           533.222      10.016
  12.9953           520.192      10.009
  13.0953           515.789      10.277
  13.1953           504.690       9.715
  13.2953           527.186      10.276
  13.3953           517.686       9.935
  13.4953           514.955       9.938
  13.5953           507.371       9.792
  13.6953           536.178      10.135
  13.7953           522.760       9.927
  13.8953           525.929      10.036
  13.9953           516.513       9.833
  14.0953           507.453       9.865
  14.1953           508.481       9.693
  14.2953           508.716       9.873
  14.3953           518.595       9.870
