XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       69.2340      69.0530      69.0020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4121.381      28.165
   0.1953          4343.148      29.385
   0.2953          4267.300      29.392
   0.3953          4205.380      28.991
   0.4953          3901.021      27.718
   0.5953          3452.985      25.868
   0.6953          3082.388      24.372
   0.7953          2646.895      22.645
   0.8953          2319.017      21.127
   0.9953          1994.964      19.645
   1.0953          1649.976      17.810
   1.1953          1338.055      16.007
   1.2953          1064.125      14.301
   1.3953           786.111      12.280
   1.4953           555.390      10.315
   1.5953           428.098       9.033
   1.6953           377.763       8.531
   1.7953           342.604       8.118
   1.8953           335.817       8.007
   1.9953           311.096       7.710
   2.0953           304.164       7.645
   2.1953           298.164       7.564
   2.2953           284.092       7.360
   2.3953           277.644       7.289
   2.4953           259.112       7.070
   2.5953           245.973       6.819
   2.6953           264.371       7.163
   2.7953           255.783       6.993
   2.8953           271.343       7.231
   2.9953           242.700       6.832
   3.0953           238.572       6.786
   3.1953           236.907       6.758
   3.2953           236.887       6.749
   3.3953           242.174       6.886
   3.4953           233.225       6.851
   3.5953           249.958       7.090
   3.6953           250.340       7.011
   3.7953           255.351       7.036
   3.8953           270.655       7.226
   3.9953           280.253       7.357
   4.0953           306.809       7.656
   4.1953           337.461       8.102
   4.2953           377.034       8.486
   4.3953           425.007       9.012
   4.4953           459.582       9.368
   4.5953           511.253       9.933
   4.6953           579.921      10.492
   4.7953           637.858      11.040
   4.8953           653.990      11.185
   4.9953           687.656      11.501
   5.0953           695.894      11.515
   5.1953           685.457      11.426
   5.2953           685.387      11.481
   5.3953           665.046      11.274
   5.4953           690.538      11.463
   5.5953           692.934      11.520
   5.6953           688.954      11.500
   5.7953           685.646      11.480
   5.8953           686.180      11.411
   5.9953           707.440      11.695
   6.0953           699.787      11.600
   6.1953           695.323      11.595
   6.2953           678.523      11.422
   6.3953           695.719      11.562
   6.4953           689.360      11.576
   6.5953           676.866      11.441
   6.6953           658.309      11.496
   6.7953           643.125      11.372
