XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       71.2550      71.0560      71.0020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4113.743      28.107
   0.1953          4249.961      29.035
   0.2953          4320.423      29.540
   0.3953          4237.104      29.066
   0.4953          3865.252      27.558
   0.5953          3491.382      25.981
   0.6953          3110.042      24.453
   0.7953          2657.380      22.663
   0.8953          2264.670      20.853
   0.9953          1966.597      19.482
   1.0953          1652.671      17.804
   1.1953          1346.989      16.041
   1.2953          1035.384      14.090
   1.3953           773.759      12.169
   1.4953           553.528      10.286
   1.5953           423.300       8.972
   1.6953           375.734       8.498
   1.7953           353.523       8.237
   1.8953           325.700       7.876
   1.9953           308.086       7.664
   2.0953           291.374       7.474
   2.1953           306.283       7.657
   2.2953           286.288       7.380
   2.3953           277.382       7.277
   2.4953           274.499       7.269
   2.5953           262.203       7.033
   2.6953           258.138       7.070
   2.7953           268.359       7.154
   2.8953           258.207       7.046
   2.9953           256.731       7.019
   3.0953           258.448       7.055
   3.1953           254.257       6.993
   3.2953           243.058       6.828
   3.3953           225.583       6.638
   3.4953           240.320       6.946
   3.5953           231.107       6.809
   3.6953           238.193       6.831
   3.7953           249.338       6.945
   3.8953           257.893       7.045
   3.9953           282.110       7.373
   4.0953           313.345       7.728
   4.1953           360.366       8.363
   4.2953           371.965       8.419
   4.3953           426.310       9.016
   4.4953           473.381       9.496
   4.5953           515.654       9.964
   4.6953           572.325      10.411
   4.7953           625.699      10.922
   4.8953           676.335      11.361
   4.9953           684.910      11.465
   5.0953           678.497      11.357
   5.1953           697.933      11.516
   5.2953           695.888      11.555
   5.3953           683.720      11.418
   5.4953           690.076      11.446
   5.5953           698.973      11.557
   5.6953           695.977      11.545
   5.7953           674.464      11.373
   5.8953           689.134      11.422
   5.9953           681.488      11.465
   6.0953           711.214      11.681
   6.1953           684.448      11.491
   6.2953           692.300      11.524
   6.3953           682.984      11.442
   6.4953           675.927      11.450
   6.5953           648.083      11.182
   6.6953           665.598      11.546
   6.7953           652.872      11.445
   6.8953           652.159      11.291
   6.9953           630.961      10.987
   7.0953           655.347      11.209
   7.1953           644.672      11.152
   7.2953           639.202      11.024
   7.3953           628.508      11.003
   7.4953           629.542      10.967
   7.5953           607.959      10.752
   7.6953           623.120      10.892
   7.7953           615.223      10.830
   7.8953           623.116      10.885
   7.9953           615.841      10.774
   8.0953           611.492      10.823
   8.1953           604.166      10.710
   8.2953           599.010      10.659
   8.3953           581.565      10.512
   8.4953           588.326      10.585
   8.5953           603.175      10.689
   8.6953           592.977      10.599
   8.7953           596.507      10.630
   8.8953           578.970      10.487
   8.9953           586.145      10.551
   9.0953           601.414      10.677
   9.1953           590.096      10.619
   9.2953           576.007      10.490
   9.3953           565.447      10.339
   9.4953           577.674      10.528
   9.5953           562.653      10.358
   9.6953           584.588      10.578
   9.7953           547.689      10.336
   9.8953           577.319      10.745
   9.9953           558.056      10.550
  10.0953           561.215      10.420
  10.1953           545.896      10.204
  10.2953           562.514      10.374
  10.3953           570.802      10.421
  10.4953           559.779      10.312
  10.5953           561.972      10.312
  10.6953           550.100      10.240
  10.7953           556.115      10.216
  10.8953           548.572      10.166
  10.9953           534.107      10.028
  11.0953           521.104       9.829
  11.1953           552.950      10.182
  11.2953           525.200      10.515
  11.3953           559.734      10.064
  11.4953           564.463      10.258
  11.5953           524.285       9.905
  11.6953           516.587       9.898
  11.7953           534.432      10.032
  11.8953           533.913      10.042
  11.9953           522.951       9.933
  12.0953           518.186       9.918
  12.1953           504.475       9.759
  12.2953           514.883       9.836
  12.3953           526.654      10.039
  12.4953           511.770       9.856
  12.5953           540.464      10.115
  12.6953           538.213      10.110
  12.7953           540.980      10.202
  12.8953           510.175       9.795
  12.9953           518.566       9.991
  13.0953           531.892      10.433
  13.1953           520.312       9.861
  13.2953           520.896      10.212
  13.3953           517.409       9.930
  13.4953           528.678      10.067
  13.5953           525.993       9.967
  13.6953           541.828      10.185
  13.7953           509.852       9.801
  13.8953           522.967      10.005
  13.9953           527.093       9.931
  14.0953           538.053      10.156
  14.1953           523.357       9.831
  14.2953           503.655       9.821
  14.3953           519.257       9.873
  14.4953           523.452       9.939
  14.5953           514.335       9.922
  14.6953           516.214       9.840
  14.7953           508.785       9.779
  14.8953           515.365       9.851
  14.9953           508.466       9.833
  15.0953           515.704      10.022
  15.1953           496.165       9.375
  15.2953           514.359      10.041
  15.3953           505.688       9.768
  15.4953           507.224       9.771
  15.5953           516.293       9.896
  15.6953           507.491       9.840
  15.7953           508.300       9.782
  15.8953           517.831       9.977
  15.9953           517.809       9.916
  16.0953           503.489       9.836
  16.1953           510.243       9.899
  16.2953           503.104       9.988
  16.3953           499.776      10.000
  16.4953           503.100       9.867
  16.5953           492.326       9.672
  16.6953           502.758       9.824
  16.7953           521.573       9.970
  16.8953           509.355       9.861
  16.9953           510.491       9.837
  17.0953           511.020       9.866
  17.1953           504.791       9.791
  17.2953           511.010       9.822
  17.3953           502.715       9.777
  17.4953           500.600       9.747
  17.5953           497.939       9.656
  17.6953           500.311       9.759
  17.7953           486.753       9.605
  17.8953           506.593       9.758
  17.9953           525.244       9.949
  18.0953           508.018       9.819
  18.1953           487.039       9.594
  18.2953           497.888       9.705
  18.3953           500.955       9.713
  18.4953           519.397       9.941
  18.5953           518.215       9.868
  18.6953           518.681       9.898
  18.7953           498.540       9.738
  18.8953           501.473       9.758
  18.9953           499.245       9.706
  19.0953           499.130       9.755
  19.1953           483.623       9.600
  19.2953           489.218       9.669
  19.3953           494.045       9.715
  19.4953           490.501       9.910
  19.5953           504.203       9.961
  19.6953           480.708       9.591
  19.7953           477.581       9.550
  19.8953           502.948       9.778
  19.9953           481.305       9.554
  20.0953           510.254       9.827
  20.1953           492.669       9.494
  20.2953           495.714      10.056
  20.3953           513.987       9.782
  20.4953           488.084       9.364
  20.5953           490.274       9.751
  20.6953           517.498       9.838
  20.7953           537.605      10.060
  20.8953           511.645       9.807
  20.9953           538.504      10.108
  21.0953           544.814      10.100
  21.1953           573.796      10.397
  21.2953           555.061      10.213
  21.3953           545.876      10.152
  21.4953           505.022       9.757
  21.5953           503.352       9.727
  21.6953           482.154       9.574
  21.7953           473.283       9.400
  21.8953           488.576       9.621
