XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       53.1720      52.0600      52.1020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
  21.3953           560.780      10.292
  21.4953           534.793      10.042
  21.5953           524.760       9.933
  21.6953           532.910      10.067
  21.7953           533.588       9.983
  21.8953           512.991       9.860
  21.9953           523.898       9.929
  22.0953           537.641      10.089
  22.1953           538.452      10.129
  22.2953           548.543      10.191
  22.3953           529.680      10.053
  22.4953           515.475       9.917
  22.5953           509.958       9.888
  22.6953           499.331       9.961
  22.7953           498.908       9.929
  22.8953           508.171       9.862
  22.9953           494.980       9.661
  23.0953           504.368       9.783
  23.1953           491.759       9.653
  23.2953           478.667       9.483
  23.3953           479.446       9.508
  23.4953           474.284       9.489
  23.5953           471.256       9.352
  23.6953           469.725       9.395
  23.7953           471.929       9.409
  23.8953           459.912       9.286
  23.9953           465.314       9.312
  24.0953           485.754       9.556
  24.1953           477.276       9.468
  24.2953           467.784       9.322
  24.3953           494.138       9.624
  24.4953           465.877       9.319
  24.5953           482.868       9.558
  24.6953           506.115       9.697
  24.7953           483.103       9.480
  24.8953           509.642       9.806
  24.9953           533.726       9.973
  25.0953           545.075      10.101
  25.1953           533.878      10.011
  25.2953           541.529      10.094
  25.3953           494.268       9.634
  25.4953           482.548       9.537
  25.5953           467.867       9.399
  25.6953           446.427       9.166
  25.7953           452.451       9.321
  25.8953           448.574       9.380
  25.9953           469.940       9.621
  26.0953           459.079       9.346
  26.1953           446.992       9.182
  26.2953           459.613       9.286
  26.3953           470.747       9.449
  26.4953           449.520       9.166
  26.5953           478.567       9.449
  26.6953           478.663       9.499
  26.7953           474.557       9.424
  26.8953           499.290       9.674
  26.9953           486.354       9.505
  27.0953           494.229       9.641
  27.1953           506.060       9.712
  27.2953           502.857       9.699
  27.3953           543.665      10.092
  27.4953           553.562      10.166
  27.5953           600.220      10.582
  27.6953           692.963      11.419
  27.7953           796.521      12.185
  27.8953           884.804      12.890
  27.9953           913.736      13.004
  28.0953           836.047      12.551
  28.1953           722.143      11.643
  28.2953           577.441      10.364
  28.3953           490.661       9.621
  28.4953           451.631       9.188
  28.5953           474.922       9.446
  28.6953           465.731       9.382
  28.7953           483.829       9.570
  28.8953           494.231       9.682
  28.9953           519.560       9.908
  29.0953           555.274      10.429
  29.1953           575.559      10.595
  29.2953           573.822      10.519
  29.3953           554.297      10.251
  29.4953           501.090       9.743
  29.5953           465.026       9.349
  29.6953           447.907       9.164
  29.7953           454.527       9.266
  29.8953           450.221       9.225
  29.9953           440.446       9.076
  30.0953           447.176       9.174
  30.1953           444.500       9.142
  30.2953           425.443       8.945
  30.3953           437.777       9.036
  30.4953           453.330       9.254
  30.5953           445.140       9.153
  30.6953           454.519       9.234
  30.7953           459.480       9.268
  30.8953           472.018       9.410
  30.9953           510.763       9.824
  31.0953           523.254       9.882
  31.1953           528.526       9.960
  31.2953           515.588       9.868
  31.3953           477.199       9.457
  31.4953           483.700       9.536
  31.5953           431.007       9.003
  31.6953           426.734       8.998
  31.7953           426.347       8.950
  31.8953           442.934       9.160
  31.9953           436.011       9.058
  32.0953           405.719       8.777
  32.1953           412.027       8.888
  32.2953           405.603       8.943
  32.3953           427.633       9.134
  32.4953           423.781       8.978
  32.5953           417.812       8.868
  32.6953           411.542       8.804
  32.7953           418.987       8.849
  32.8953           408.549       8.776
  32.9953           425.682       8.895
  33.0953           405.531       8.750
  33.1953           416.905       8.799
  33.2953           407.304       8.742
  33.3953           417.228       8.796
  33.4953           420.385       8.861
  33.5953           413.947       8.764
  33.6953           424.874       8.884
  33.7953           416.346       8.850
  33.8953           413.492       8.741
  33.9953           426.920       8.908
  34.0953           430.148       8.958
  34.1953           431.683       8.974
  34.2953           416.088       8.823
  34.3953           409.061       8.647
  34.4953           440.090       9.127
  34.5953           438.381       8.988
  34.6953           412.854       8.816
  34.7953           445.212       9.120
  34.8953           437.517       9.035
  34.9953           457.011       9.227
  35.0953           433.070       9.034
  35.1953           440.060       9.084
  35.2953           457.344       9.293
  35.3953           445.758       9.249
  35.4953           433.513       9.197
  35.5953           433.037       9.199
  35.6953           436.069       9.130
  35.7953           452.029       9.206
  35.8953           466.363       9.376
  35.9953           455.467       9.219
  36.0953           483.306       9.524
  36.1953           487.179       9.532
  36.2953           497.908       9.691
  36.3953           534.429       9.976
  36.4953           533.399      10.007
  36.5953           517.560       9.784
  36.6953           507.771       9.750
  36.7953           501.070       9.636
  36.8953           448.420       9.151
  36.9953           444.773       9.113
  37.0953           432.654       8.971
  37.1953           420.517       8.818
  37.2953           439.816       9.079
  37.3953           421.186       8.846
  37.4953           414.238       8.762
  37.5953           430.993       8.979
  37.6953           417.066       8.812
  37.7953           418.567       8.848
  37.8953           429.399       8.926
  37.9953           409.752       8.752
  38.0953           428.799       8.959
  38.1953           445.109       9.137
  38.2953           444.772       9.102
  38.3953           436.237       9.069
  38.4953           432.945       8.983
  38.5953           446.809       9.245
  38.6953           435.386       9.226
  38.7953           454.832       9.441
  38.8953           419.501       8.932
  38.9953           464.584       9.386
  39.0953           491.501       9.621
  39.1953           544.473      10.081
  39.2953           613.990      10.734
  39.3953           633.327      10.869
  39.4953           667.563      11.198
  39.5953           607.715      10.629
  39.6953           527.992       9.934
  39.7953           496.497       9.607
  39.8953           447.810       9.152
  39.9953           442.828       9.058
  40.0953           459.770       9.255
  40.1953           434.772       9.038
  40.2953           427.992       8.909
  40.3953           437.606       9.016
  40.4953           432.193       8.998
  40.5953           439.900       9.059
  40.6953           448.583       9.136
  40.7953           444.419       9.117
  40.8953           442.274       9.102
  40.9953           457.330       9.234
  41.0953           430.339       8.938
  41.1953           441.648       9.126
  41.2953           444.652       9.118
  41.3953           452.463       9.201
  41.4953           449.138       9.212
  41.5953           440.081       9.088
  41.6953           436.946       9.060
  41.7953           453.370       9.336
  41.8953           453.006       9.576
