XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       68.2110      67.9900      68.0020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4098.585      28.042
   0.1953          4272.156      29.097
   0.2953          4319.015      29.521
   0.3953          4143.104      28.729
   0.4953          3853.989      27.505
   0.5953          3547.622      26.178
   0.6953          3072.563      24.294
   0.7953          2649.107      22.617
   0.8953          2294.213      20.979
   0.9953          1945.286      19.367
   1.0953          1640.014      17.727
   1.1953          1323.589      15.894
   1.2953          1012.768      13.929
   1.3953           762.519      12.075
   1.4953           569.440      10.428
   1.5953           421.384       8.947
   1.6953           358.669       8.299
   1.7953           352.042       8.216
   1.8953           325.206       7.867
   1.9953           317.328       7.774
   2.0953           307.392       7.673
   2.1953           295.855       7.522
   2.2953           299.713       7.547
   2.3953           291.246       7.453
   2.4953           276.938       7.298
   2.5953           266.485       7.087
   2.6953           265.835       7.172
   2.7953           250.184       6.904
   2.8953           261.234       7.084
   2.9953           244.789       6.850
   3.0953           252.430       6.969
   3.1953           238.444       6.769
   3.2953           229.404       6.631
   3.3953           242.559       6.880
   3.4953           245.917       7.023
   3.5953           244.933       7.007
   3.6953           241.692       6.877
   3.7953           244.270       6.871
   3.8953           261.694       7.094
   3.9953           280.884       7.354
   4.0953           304.288       7.612
   4.1953           346.645       8.198
   4.2953           387.428       8.588
   4.3953           441.348       9.169
   4.4953           475.414       9.512
   4.5953           536.919      10.163
   4.6953           555.135      10.249
   4.7953           634.832      10.996
   4.8953           652.055      11.150
   4.9953           706.901      11.642
   5.0953           698.762      11.520
   5.1953           681.900      11.378
   5.2953           687.953      11.483
   5.3953           687.655      11.445
   5.4953           702.523      11.543
   5.5953           701.376      11.571
   5.6953           696.668      11.546
   5.7953           686.100      11.465
   5.8953           668.057      11.241
   5.9953           671.599      11.377
   6.0953           689.460      11.496
   6.1953           686.316      11.501
   6.2953           679.385      11.411
   6.3953           666.064      11.294
   6.4953           665.217      11.353
   6.5953           659.819      11.278
   6.6953           662.375      11.513
   6.7953           675.121      11.633
   6.8953           651.746      11.282
   6.9953           632.475      10.995
   7.0953           642.089      11.090
   7.1953           631.733      11.034
   7.2953           627.965      10.922
   7.3953           635.621      11.060
   7.4953           637.165      11.028
   7.5953           624.686      10.894
   7.6953           632.433      10.968
   7.7953           626.271      10.922
   7.8953           627.665      10.920
   7.9953           627.700      10.873
   8.0953           619.346      10.888
   8.1953           602.274      10.689
   8.2953           610.014      10.752
   8.3953           579.314      10.486
   8.4953           604.527      10.725
   8.5953           588.981      10.558
   8.6953           603.405      10.687
   8.7953           595.004      10.612
   8.8953           584.125      10.529
   8.9953           591.482      10.594
   9.0953           593.844      10.604
   9.1953           549.631      10.244
   9.2953           563.632      10.372
   9.3953           569.076      10.367
   9.4953           593.816      10.669
   9.5953           575.086      10.466
   9.6953           557.643      10.327
   9.7953           568.426      10.525
   9.8953           563.390      10.609
   9.9953           564.313      10.604
  10.0953           554.504      10.352
  10.1953           552.440      10.260
  10.2953           538.661      10.147
  10.3953           549.162      10.217
  10.4953           548.626      10.204
  10.5953           547.454      10.173
  10.6953           533.204      10.077
  10.7953           536.839      10.033
