XYDATA  Co2SiO4 8mmV 1.87A HiRes FullBeam 500K CF ROC 
INTER        1       1       0     0.100000
TEMP       63.2750      62.9570      63.0020
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! d20 23-Apr-08 09:22:09 User Sazono   L.C.Hansen  Run 594842*d20_2008_04_5880
! Monitor/counts, Counting time/sec:       100000.      62.5111
   0.0953          4113.084      28.068
   0.1953          4291.026      29.137
   0.2953          4310.680      29.469
   0.3953          4180.421      28.834
   0.4953          3952.483      27.832
   0.5953          3485.840      25.927
   0.6953          3065.768      24.247
   0.7953          2642.229      22.569
   0.8953          2264.570      20.826
   0.9953          1904.343      19.146
   1.0953          1618.941      17.598
   1.1953          1337.222      15.962
   1.2953          1053.943      14.197
   1.3953           774.435      12.159
   1.4953           581.278      10.527
   1.5953           427.330       9.003
   1.6953           374.572       8.474
   1.7953           342.268       8.094
   1.8953           330.942       7.929
   1.9953           318.897       7.787
   2.0953           298.084       7.549
   2.1953           297.086       7.531
   2.2953           280.043       7.289
   2.3953           283.906       7.353
   2.4953           273.599       7.248
   2.5953           270.564       7.135
   2.6953           265.397       7.160
   2.7953           254.911       6.964
   2.8953           253.510       6.972
   2.9953           248.024       6.890
   3.0953           244.517       6.853
   3.1953           238.435       6.763
   3.2953           247.218       6.878
   3.3953           238.454       6.816
   3.4953           238.096       6.905
   3.5953           246.331       7.021
   3.6953           249.506       6.982
   3.7953           254.294       7.005
   3.8953           261.262       7.082
   3.9953           282.920       7.374
   4.0953           300.742       7.561
   4.1953           349.366       8.223
   4.2953           378.421       8.481
   4.3953           424.068       8.980
   4.4953           467.977       9.430
   4.5953           523.737      10.029
   4.6953           585.964      10.521
   4.7953           620.470      10.862
   4.8953           645.077      11.081
   4.9953           674.143      11.359
   5.0953           688.315      11.424
   5.1953           688.548      11.424
   5.2953           698.878      11.565
   5.3953           684.998      11.413
   5.4953           714.811      11.634
   5.5953           668.953      11.291
   5.6953           702.397      11.583
   5.7953           679.420      11.400
   5.8953           693.588      11.444
   5.9953           696.472      11.576
   6.0953           700.382      11.577
   6.1953           683.451      11.468
   6.2953           695.489      11.536
   6.3953           680.265      11.404
   6.4953           670.312      11.387
   6.5953           642.175      11.117
   6.6953           668.676      11.558
   6.7953           671.005      11.588
   6.8953           654.766      11.299
   6.9953           654.910      11.179
   7.0953           629.360      10.971
   7.1953           630.113      11.011
   7.2953           631.482      10.943
   7.3953           631.306      11.013
   7.4953           619.530      10.866
   7.5953           613.409      10.786
   7.6953           613.154      10.790
   7.7953           626.189      10.912
   7.8953           629.475      10.926
   7.9953           626.664      10.855
   8.0953           610.678      10.802
   8.1953           604.880      10.703
   8.2953           599.734      10.652
   8.3953           591.438      10.587
   8.4953           607.140      10.740
   8.5953           594.435      10.598
   8.6953           593.903      10.594
   8.7953           600.826      10.655
   8.8953           594.343      10.612
   8.9953           597.329      10.638
   9.0953           590.974      10.570
   9.1953           585.522      10.564
   9.2953           577.379      10.489
   9.3953           588.320      10.533
   9.4953           588.625      10.613
   9.5953           577.181      10.477
   9.6953           579.260      10.516
   9.7953           567.293      10.505
   9.8953           567.049      10.635
   9.9953           550.446      10.464
  10.0953           553.203      10.332
  10.1953           570.369      10.417
  10.2953           562.971      10.365
  10.3953           562.114      10.328
  10.4953           584.677      10.525
  10.5953           553.536      10.221
  10.6953           561.803      10.335
  10.7953           544.567      10.097
  10.8953           549.787      10.164
  10.9953           548.131      10.145
  11.0953           556.198      10.141
  11.1953           544.414      10.090
  11.2953           550.520      10.751
  11.3953           555.761      10.016
  11.4953           526.179       9.891
  11.5953           531.893       9.963
  11.6953           544.583      10.149
  11.7953           533.052      10.006
  11.8953           527.070       9.964
  11.9953           537.601      10.058
  12.0953           532.757      10.043
  12.1953           539.343      10.078
  12.2953           549.178      10.146
  12.3953           520.712       9.970
  12.4953           523.897       9.960
  12.5953           536.047      10.061
  12.6953           527.917      10.000
  12.7953           534.209      10.125
  12.8953           522.179       9.897
  12.9953           518.763       9.980
  13.0953           520.921      10.312
  13.1953           517.850       9.825
  13.2953           513.759      10.128
  13.3953           530.905      10.046
  13.4953           537.833      10.141
  13.5953           505.037       9.754
  13.6953           526.675      10.029
  13.7953           506.092       9.752
  13.8953           518.943       9.954
  13.9953           529.840       9.944
  14.0953           513.714       9.910
  14.1953           520.348       9.790
  14.2953           503.310       9.805
  14.3953           516.043       9.830
  14.4953           505.344       9.752
  14.5953           515.108       9.917
  14.6953           512.635       9.793
  14.7953           508.596       9.764
  14.8953           523.241       9.913
  14.9953           499.374       9.732
  15.0953           523.700      10.086
  15.1953           514.679       9.536
  15.2953           513.814      10.023
  15.3953           523.210       9.923
  15.4953           510.609       9.790
  15.5953           514.960       9.870
  15.6953           524.076       9.986
  15.7953           519.949       9.881
  15.8953           512.083       9.908
  15.9953           489.569       9.629
  16.0953           537.471      10.150
  16.1953           497.620       9.763
  16.2953           507.544      10.019
  16.3953           501.680      10.006
  16.4953           492.147       9.746
  16.5953           512.290       9.854
  16.6953           503.950       9.823
  16.7953           523.649       9.977
  16.8953           501.944       9.776
  16.9953           503.310       9.755
  17.0953           502.099       9.767
  17.1953           484.349       9.578
  17.2953           505.736       9.758
  17.3953           513.369       9.867
  17.4953           500.443       9.732
  17.5953           510.854       9.768
  17.6953           506.618       9.808
  17.7953           486.821       9.594
  17.8953           501.534       9.697
  17.9953           500.946       9.704
  18.0953           498.565       9.714
  18.1953           500.680       9.715
  18.2953           522.461       9.929
  18.3953           521.084       9.894
  18.4953           503.629       9.776
  18.5953           512.565       9.801
  18.6953           493.407       9.641
  18.7953           502.567       9.765
  18.8953           488.621       9.620
  18.9953           509.817       9.795
  19.0953           498.793       9.739
  19.1953           492.261       9.673
  19.2953           506.451       9.825
  19.3953           492.197       9.684
  19.4953           492.431       9.916
  19.5953           474.428       9.650
  19.6953           492.834       9.699
  19.7953           490.829       9.669
  19.8953           500.322       9.739
  19.9953           508.446       9.807
  20.0953           487.409       9.592
  20.1953           490.485       9.460
  20.2953           509.701      10.184
  20.3953           491.114       9.549
  20.4953           516.220       9.618
  20.5953           507.005       9.903
  20.6953           515.229       9.804
  20.7953           523.822       9.917
  20.8953           537.519      10.039
  20.9953           536.546      10.077
  21.0953           558.539      10.213
  21.1953           554.271      10.205
  21.2953           562.065      10.264
  21.3953           541.829      10.102
  21.4953           532.873      10.010
  21.5953           514.805       9.824
  21.6953           499.121       9.729
  21.7953           508.761       9.734
  21.8953           512.833       9.844
  21.9953           523.700       9.913
  22.0953           505.687       9.770
  22.1953           505.159       9.796
  22.2953           510.319       9.816
  22.3953           521.109       9.957
  22.4953           490.390       9.658
  22.5953           487.068       9.649
  22.6953           476.880       9.720
  22.7953           484.854       9.774
  22.8953           483.221       9.603
  22.9953           486.968       9.569
  23.0953           475.467       9.485
  23.1953           484.479       9.568
  23.2953           483.094       9.513
  23.3953           468.847       9.388
  23.4953           479.922       9.532
  23.5953           454.159       9.168
  23.6953           445.878       9.140
  23.7953           452.230       9.197
  23.8953           469.618       9.370
  23.9953           473.636       9.381
  24.0953           472.163       9.408
  24.1953           461.659       9.298
  24.2953           461.615       9.247
  24.3953           479.810       9.470
  24.4953           474.945       9.396
  24.5953           474.868       9.465
